num_txs,gas_used,num_users,proj_name,pct_txs,pct_gas_used,pct_users
9319239,468275525223,1946081,USDT - Tether_USD,0.08627191014487486298,0.05324763269101390574,0.14798236421719408980
6001865,1010146660465,380369,opensea - WyvernExchange,0.05556165669553805514,0.11486382576770379991,0.02892372100386874891
4724462,688323950990,668655,uniswap_v2 - Router02,0.04373622794166731692,0.07826934986040304465,0.05084533878376486596
4169538,87560298000,3312937,{coinbase} - 0xa090e606e30bd747d4e6245a1517ebe430f0057e,0.03859907527660158157,0.00995648573347800569,0.25191975553053461613
2841179,156173403060,779598,USDC - USDC,0.02630192651926894656,0.01775848523854498894,0.05928157932737438885
2328417,402662435750,481039,axieinfinity - MainchainGatewayManager,0.02155508429430762467,0.04578676510388737016,0.03657879014320309780
1869265,293014608291,449523,uniswap_v3 - SwapRouter,0.01730453120871344868,0.03331870532407264834,0.03418227520334751679
1241830,46330679733,320063,WETH - WETH9,0.01149611531319348619,0.00526826384012481408,0.02433797947693225100
998178,203887570662,333491,{metamask} - 0x881d40237659c251811cec9c364ef91dc08d300c,0.00924053162759222089,0.02318406555137228729,0.02535906091532483705
933150,39439572405,323341,SHIB - SHIB,0.00863854151092057821,0.00448467569154293351,0.02458724258052555582
867194,31263042544,268255,SLP - SmoothLovePotion,0.00802796052834084542,0.00355492208437266781,0.02039843619720011683
667350,92354873765,82645,shibaswap - UniswapV2Router02,0.00617792496095252411,0.01050167717632007888,0.00628442623443217705
644047,86536616726,123070,sushi - Router02,0.00596219980119366194,0.00984008288614861915,0.00935839236096034884
606302,12732342064,333871,{binance} - 0x28c6c06298d514db089934071355e5743bf21d60,0.00561277929074014726,0.00144779523379394968,0.02538795657712027812
574484,107023901692,342,0xa57bd00134b2850b2a1c55860c9e9ea100fdd6cf - 0xa57bd00134b2850b2a1c55860c9e9ea100fdd6cf,0.00531822738183539351,0.01216969305355208583,0.000026006095615896963545
538319,126531718400,86749,oneinch_v3 - AggregationRouterV3,0.00498343356118229089,0.01438792783782047508,0.00659649938182294062
531440,23223615763,164601,MATIC - 0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0,0.00491975191615885129,0.00264075847508061736,0.01251646007155630438
509495,95403062932,37750,0x94235659cf8b805b2c658f9ea2d6d6ddbb17c8d7 - 0x94235659cf8b805b2c658f9ea2d6d6ddbb17c8d7,0.00471659830370945721,0.01084828691437941835,0.00287055587573131688
474751,19583872401,145865,LINK - 0x514910771af9ca656af840dff83e8264ecf986ca,0.00439495924647811759,0.00222688308080918315,0.01109175186261055727
465419,61587815019,170676,polygon - RootChainManager,0.00430856920266960788,0.00700315343368013606,0.01297841045420710570
420454,17097917236,153194,DAI - DAI,0.00389231027426737480,0.00194420499839346933,0.01164905792918631413
391901,18209500349,40144,0x9b9647431632af44be02ddd22477ed94d14aacaa - 0x9b9647431632af44be02ddd22477ed94d14aacaa,0.00362798377181727002,0.00207060316810001338,0.00305259854504259563
374094,53164186578,140,chainlink - Aggregator,0.00346313727480718297,0.00604530223499033632,0.000010645770135162499697
367308,35001688413,139,0x0000000000007f150bd6f54c40a34d7c3d5e9f56 - 0x0000000000007f150bd6f54c40a34d7c3d5e9f56,0.00340031656785427396,0.00398004368751322566,0.000010569728919911338985
314124,17506059544,105502,xSHIB - 0xb4a81261b16b92af0b9f7c4a83f1e885132d81e4,0.00290797108029407460,0.00199061488003675458,0.00802250029142795745
314122,14447020764,37157,AXS - AXSToken,0.00290795256549685889,0.00164277143195682726,0.00282546343508737858
310984,109384467741,273764,wyvern - WyvernProxyRegistry,0.00287890284866540759,0.01243811313350431536,0.02081734725201876119
287117,53856458331,74767,zeroex - ExchangeProxy,0.00265795651609171479,0.00612402048960882003,0.00568537354068353296
286255,6011355000,170359,0x4ad64983349c49defe8d7a4686202d24b25d0ce8 - 0x4ad64983349c49defe8d7a4686202d24b25d0ce8,0.00264997663849174315,0.00068355146868471915,0.01295430538897248776
275990,28197129406,79321,HEX - HEX,0.00255494944178210404,0.00320629695271105807,0.00603166523493731885
263575,35646798028,15,0x0000006daea1723962647b7e189d311d757fb793 - 0x0000006daea1723962647b7e189d311d757fb793,0.00244001883806557510,0.00405339913313170664,0.000001140618228767410682
235689,8945551491,20364,MOF - 0x653430560be843c4a3d143d0110e896c2ab8ac0d,0.00218186702048691010,0.00101719909402586093,0.00154850330737463674
206724,29181225182,47966,ethereumnameservice - ETHRegistrarController_3,0.00191372646981036876,0.00331819853114241480,0.00364739293073717472
203398,9033377306,31822,CHZ - 0x3506424f91fd33084466f402d5d97f05f8e3b4af,0.00188293636204064059,0.00102718577171029022,0.00241978355172243618
196220,11949179491,2,{gemini} - 0x5f65f7b609678448494de4c87521cdf6cef1e932,0.00181648675483345213,0.00135874177962379111,0.000000152082430502321424
195512,10210753835,6,0x0b95993a39a363d99280ac950f5e4536ab5c5566 - 0x0b95993a39a363d99280ac950f5e4536ab5c5566,0.00180993251661909027,0.00116106531394209433,0.000000456247291506964273
194663,74876859619,14829,strong - ServiceV9,0.00180207298520102075,0.00851425133985049800,0.00112761518095946220
188487,21485371619,188487,0xf6874c88757721a02f47592140905c4336dfbc61 - 0xf6874c88757721a02f47592140905c4336dfbc61,0.00174489929139890374,0.00244310264913724644,0.01433278053904552915
183686,8513366366,66586,UNI - UNI,0.00170045452068258836,0.00096805530249509308,0.00506328035871378718
182016,18778775769,32,0x4d246be90c2f36730bb853ad41d0a189061192d3 - 0x4d246be90c2f36730bb853ad41d0a189061192d3,0.00168499466500746929,0.00213533550372602621,0.000002433318888037142788
