,id,token0,token1,feeTier,totalValueLockedUSD,fees_usd_t90d,volume_usd_t90d,tvl_share,pool,fee_apr_plus10m
434,0xf5ce0293c24fd0990e0a5758e53f66a36ca0118f,SNX,WETH,0.01,234687.81359925654,42790.74661069804,4279074.661069804,6.071960337873569e-05,SNX/WETH - 1.0%,0.016956086331504548
435,0xbfacdf75f59988f18700d46f85095cda600e2192,YFI,USDC,0.01,234407.9801600465,17273.634949344585,1727363.4949344588,6.064720347360063e-05,YFI/USDC - 1.0%,0.00684496712650667
436,0x88977729330e55aa7111fec4967d8a561ac7c741,OCC,WETH,0.01,233039.81991307664,529315.3485390793,52931534.85390793,6.029322622066828e-05,OCC/WETH - 1.0%,0.20977811483066452
437,0xe03e5f8ff282843c59ff91f5b6cedcc9742a9c40,LCX,USDC,0.01,232927.25953713417,40470.85972665,4047085.9726650007,6.026410403797558e-05,LCX/USDC - 1.0%,0.016039576539504215
438,0xa34f0d0314db32f41e1194816d56d55d1f7ca7b5,PRQ,WETH,0.01,230999.17709209613,176523.92167396352,17652392.16739635,5.976526091719846e-05,PRQ/WETH - 1.0%,0.06997386656390815
439,0xb9abcf33069f2df034f3219b2ff10beca3321364,PILOT,WETH,0.01,229965.3621886314,1367.5390891938923,136753.9089193892,5.9497787161562416e-05,PILOT/WETH - 1.0%,0.000542145604042702
440,0x75c80ce8fddfc61641bed16cd90c9123f0d9a020,USDC,AMP,0.01,229948.74329191353,410828.13225170004,41082813.22517001,5.949348743759369e-05,USDC/AMP - 1.0%,0.16286849093202255
441,0x24dbedb4699eb996a8ceb2baef4a4ae057cf0294,MM,WETH,0.01,228929.1211979585,45291.69898663744,4529169.898663744,5.9229685716525796e-05,MM/WETH - 1.0%,0.017957207374245193
442,0x19363890e559d365e943604286e448a19ffead9c,MET,WETH,0.01,228594.55149075083,625401.7169776616,62540171.69776616,5.914312417073169e-05,MET/WETH - 1.0%,0.24796675584067238
443,0xa7f72a1ec0ab189998a3eec8b886e6360aff39da,sILV,WETH,0.01,227038.91085492278,1043741.2050934143,104374120.50934145,5.874064105514642e-05,sILV/WETH - 1.0%,0.41389795030368143
444,0x94b4ba66da4faa4fe09e17c0a8810d2afee70163,FNK,USDT,0.01,225444.7542447369,7.699028229567657,769.9028229567656,5.83281928942915e-05,FNK/USDT - 1.0%,3.0535431425455283e-06
445,0x4432101acce2d2ac0a063a49d8d1a429c2e842d5,MPWR,WETH,0.003,223740.0273145995,732.5398891622652,244179.96305408844,5.788713742797e-05,MPWR/WETH - 0.3%,0.00029058409243788355
446,0x389442a68957a814ffeb43275b12493797e2866e,WETH,HOPR,0.0001,223495.2954153282,22.491496067378648,224914.9606737865,5.78238191685769e-05,WETH/HOPR - 0.01%,8.922145430019273e-06
447,0x4fde70fdadfdb82295efacef32c48328f830ab75,UNQT,WETH,0.01,222780.6002116246,164308.33959356815,16430833.95935681,5.763890965563701e-05,UNQT/WETH - 1.0%,0.06518398716773885
448,0x6a9c4fc2b35ee398e7a0e75d982872466ba93cb8,TONCOIN,USDT,0.01,222170.38513078334,4028.7314054917324,402873.1405491733,5.748103176195279e-05,TONCOIN/USDT - 1.0%,0.0015983634999030684
449,0x3ed96d54be53868edbc3ad5ccc4995710d187dc4,APE,USDT,0.003,220683.15247243812,351459.4262377415,117153142.07924716,5.709624749999352e-05,APE/USDT - 0.3%,0.13945870421450618
450,0x53e836dbb301dc78d73c8fff8014330bc5f21695,DAI,LRC,0.003,220356.1198034758,0.0,0.0,5.701163597438108e-05,DAI/LRC - 0.3%,0.0
451,0x1353fe67fff8f376762b7034dc9066f0be15a723,AAVE,WETH,0.01,220070.76715719418,79129.39145164531,7912939.14516453,5.693780811242452e-05,AAVE/WETH - 1.0%,0.03140033473552116
452,0x4ac97bcc1137bd1c39c1f34cfe5c250cc3cc7f59,WETH,GGTK,0.003,219826.70804388248,326.00105150487997,108667.01716829331,5.687466391957539e-05,WETH/GGTK - 0.3%,0.00012936769020818623
453,0x38b6e47a97f4680a983eadc8e510c37d73967c29,JASMY,USDT,0.01,219576.978497915,272580.37383102,27258037.383102,5.681005264406626e-05,JASMY/USDT - 1.0%,0.10817129238829667
454,0x68d15a82db6494cf79d9303233706b545e42f75e,GBPT,USDC,0.003,218782.02426959752,680.8369127640001,226945.63758799998,5.6604378115391715e-05,GBPT/USDC - 0.3%,0.00027020558002211544
455,0xeb4626c5149894022c2066120ea7f20f217995fb,WETH,ACH,0.01,218584.5422675479,68719.84167861831,6871984.167861831,5.6553284585416754e-05,WETH/ACH - 1.0%,0.02727355579863653
456,0x4e57f830b0b4a82321071ead6ffd1df1575a16e2,WETH,AMP,0.01,218337.5340358861,86308.34390933771,8630834.390933774,5.648937738193751e-05,WETH/AMP - 1.0%,0.03425491499634042
457,0x8b6ed5fa776f10787f1171bdeea4f3c40974df6e,DENT,WETH,0.01,217816.42596377223,116604.8123568844,11660481.235688437,5.635455369863266e-05,DENT/WETH - 1.0%,0.04628163932920439
458,0x472ae8ccdbb6f190036940a3722c934dff95fb27,LIQUIDATOR,WETH,0.0001,211868.93607640456,80.15720917126596,801572.0917126597,5.481578940780052e-05,LIQUIDATOR/WETH - 0.01%,3.1833743363461056e-05
459,0x216084e4a9d94c867e065d709905051a8f22f92d,RSV,USDT,0.0005,211227.35676725928,467.23987953232114,934479.7590646422,5.464979680430801e-05,RSV/USDT - 0.05%,0.0001855719418448361
460,0xa3ccaf08a54cf31649f91ae1570a0720c8d4eb1e,sUSD,SNX,0.01,210530.32379483574,7918.292171248605,791829.2171248606,5.446945695206614e-05,sUSD/SNX - 1.0%,0.0031450936226869973
461,0x5f3c621d810c7c929fb440e03dadf8621fe61ab5,USDC,RSS3,0.003,209977.0739413397,113760.39320506802,37920131.068356,5.4326317386536826e-05,USDC/RSS3 - 0.3%,0.04518732915106336
462,0xb38c979367cbadbe23026e9dda66ec6cbe926ff7,ARCX,WETH,0.01,209681.23106833023,83785.74769705163,8378574.769705163,5.42497754407235e-05,ARCX/WETH - 1.0%,0.03328191614005932
463,0x32ecd439b57fb881ea1f5df2f8581b6fdac0acac,CARD,WETH,0.003,207451.08682635965,10975.017981973228,3658339.3273244086,5.3672781383072724e-05,CARD/WETH - 0.3%,0.004360520052509247
464,0x15a7e01386fe8be69e486edbc55baac10629830c,FTX Token,USDC,0.01,206844.87218877094,206983.27424601,20698327.424600996,5.351593850404866e-05,FTX Token/USDC - 1.0%,0.08224208149403135
465,0x35593881b7723b39a5bdbcb421e55c1ff1953f4b,eMAID,USDC,0.003,206553.37583506963,1930.9962824610002,643665.4274870001,5.3440521111421216e-05,eMAID/USDC - 0.3%,0.00076727788634634
466,0xc071076b657f354c8b39e6a86cd9043930337065,axlATOM,WETH,0.0005,205886.11122117226,892.1208401573641,1784241.6803147283,5.3267883077587485e-05,axlATOM/WETH - 0.05%,0.00035450578128136444
467,0x2cb162433e0cabac4825e6d198a125829156cc92,CHO,USDT,0.003,205395.32702437282,114061.48198591749,38020493.995305836,5.3140904938768996e-05,CHO/USDT - 0.3%,0.045327266815225344
468,0xd124c5808a0d89738e0aef655c0aa19ec6175811,WETH,SLP,0.01,203992.93023275456,0.016395949350457965,1.6395949350457966,5.277806983599678e-05,WETH/SLP - 1.0%,6.5165356279152725e-09
469,0x9e5bfb074aa3a90daf84484f9e099ad39d64d578,WETH,CUBE,0.01,203926.3128683344,600503.6915124664,60050369.15124662,5.276083425872631e-05,WETH/CUBE - 1.0%,0.23867048894440868
470,0x05aaa0053fa5c28e8c558d4c648cc129bea45018,NCT,WETH,0.01,203078.49011627777,315126.64944796206,31512664.94479621,5.2541481321516495e-05,NCT/WETH - 1.0%,0.12525764994460276
471,0x3e467f46bc3ed8aeaec1c8c367dd16dc5ca4a936,WBTC,NU,0.01,202706.7026549847,60295.38748830485,6029538.748830484,5.244529061248611e-05,WBTC/NU - 1.0%,0.02396729621159617
472,0x2efec2097beede290b2eed63e2faf5ecbbc528fc,WETH,TRU,0.003,202245.85873472173,75505.49542861129,25168498.476203762,5.232605877156211e-05,WETH/TRU - 0.3%,0.030014639492177066
473,0x73a6a761fe483ba19debb8f56ac5bbf14c0cdad1,SUSHI,WETH,0.003,201864.51291609713,271670.02118077927,90556673.72692643,5.222739507657978e-05,SUSHI/WETH - 0.3%,0.10799720602863352
474,0x868b7bbbfe148516e5397f23982923686182c2d2,UST,USDT,0.0005,201781.093479,119967.5779488063,239935155.89761257,5.2205812383141497e-05,UST/USDT - 0.05%,0.047691199485530994
475,0xd017617f6f0fd22796e137a8240cc38f52a147b2,WETH,GTC,0.003,200834.47144819755,94181.71988342279,31393906.627807595,5.196089760304113e-05,WETH/GTC - 0.3%,0.03744391680642243
476,0x98a19d4954b433bd315335a05d7d6371d812a492,RSV,USDC,0.0005,200691.781408264,340.87186842349996,681743.7368470001,5.192398012318572e-05,RSV/USDC - 0.05%,0.00013552265173202556
477,0x733f6c5aea6314efbd34195b1ae7f070379aa3f0,BRZ,USDC,0.0005,199887.85820023197,24.2425267555,48485.053511000006,5.1715985095280185e-05,BRZ/USDC - 0.05%,9.639019117737655e-06
478,0x996d945d7d1edf3bb0f1d6b54563531745830dcf,LPG,USDT,0.01,199635.65224159765,4.92657435,492.657435,5.165073310991643e-05,LPG/USDT - 1.0%,1.9588931071875052e-06
479,0x11a38dbd302a30e52c54bb348d8fe662307ff24c,WETH,WOOFY,0.01,199183.23738306868,1060.5617888929858,106056.17888929856,5.153368207794664e-05,WETH/WOOFY - 1.0%,0.00042171683308814544
480,0xecaca2963ebcb5c068cacb86277c4b435a2baf3b,WETH,ICSA,0.01,198558.56659545712,60107.26801091527,6010726.801091527,5.137206413160187e-05,WETH/ICSA - 1.0%,0.023902237077833472
481,0xe935fac6b950539f37450f80c76325a6b2232725,VINU,WETH,0.003,198060.85809778614,12580.974884432702,4193658.2948109,5.124329450307565e-05,VINU/WETH - 0.3%,0.0050031906356345374
482,0x2b1b8052eed6467967d047b58b71f8e9ffa057b5,CIV,WETH,0.003,197292.27516136985,2473.710330906469,824570.1103021565,5.104444288676399e-05,CIV/WETH - 0.3%,0.0009838170177567205
483,0xb10707f0d75c7deee0089ce00798ece3c07260f4,QLT,USDC,0.01,197023.14068531143,28197.92857452,2819792.857452,5.0974811070815866e-05,QLT/USDC - 1.0%,0.011214867742064146
484,0x1569236893dce06af7b10b8d072844cc15ae2011,WETH,MCRT,0.01,192253.2368987789,18593.187808969098,1859318.7808969095,4.9740717737927524e-05,WETH/MCRT - 1.0%,0.007398335222005956
485,0x82743c07bf3be4d55876f87bca6cce5f84429bd0,HEX,WETH,0.01,190619.22732238314,101152.70258706,10115270.258706,4.931795861859283e-05,HEX/WETH - 1.0%,0.040255689648037156
486,0xbcf9834a651630f7def1a53b7615be17bafa6d0c,WBTC,indexBTC,0.003,188530.6524344043,302.3283007087064,100776.10023623548,4.877759209133287e-05,WBTC/indexBTC - 0.3%,0.00012034210440814677
487,0x46add4b3f80672989b9a1eaf62cad5206f5e2164,WETH,GRT,0.01,188235.10533876278,29883.08698169135,2988308.6981691346,4.870112667051757e-05,WETH/GRT - 1.0%,0.011895339886909544
488,0xe297c3f3f0190b8341dd543d2d552248207af23a,GAS,WETH,0.01,187318.3197831172,866581.5834279954,86658158.3427995,4.846393133230027e-05,GAS/WETH - 1.0%,0.34498477859366217
489,0x04ca0c71eec16fd4fa9d35ac924cc33eeb4187a2,WETH,WRLD,0.003,186763.87144863754,456762.2068163705,152254068.93879014,4.832048168978457e-05,WETH/WRLD - 0.3%,0.18184622013413937
490,0xb7c90598ccdaebcd14f43fa6635c422c3c5cecca,FEI,USDT,0.003,185784.58262099847,18432.93058150143,6144310.19383381,4.806711519283894e-05,FEI/USDT - 0.3%,0.007339225900430531
491,0x6ce6d6d40a4c4088309293b0582372a2e6bb632e,STG,WETH,0.003,185415.65770767134,432390.4470612456,144130149.0204152,4.797166509651648e-05,STG/WETH - 0.3%,0.17216611856398667
492,0x3e52fb9c6b2f361640a249f4e405b6ae91002412,lowb,USDT,0.01,183079.9369857265,401.9082880913393,40190.82880913393,4.736735576462182e-05,lowb/USDT - 1.0%,0.00016006565800122112
493,0x4b3d09151ad295623ac9e50967739fd437b0d892,WETH,NCR,0.003,181804.66042756801,763086.3964313847,254362132.14379483,4.703740984360435e-05,WETH/NCR - 0.3%,0.30394801094978113
494,0x829e48efcff5e879a8e1a789ac173449decb591f,DAI,FEI,0.003,180501.68270822513,0.0,0.0,4.670029693980047e-05,DAI/FEI - 0.3%,0.0
495,0xd9ed2b5f292a0e319a04e6c1aca15df97705821c,MANA,WETH,0.01,179026.8568463614,227347.7358122582,22734773.581225824,4.631872262619772e-05,MANA/WETH - 1.0%,0.09058050302679314
496,0xbaec0e18c770993ffb1175fef493b5113cc6e32d,ILV,WETH,0.01,175032.02830127373,309736.770043582,30973677.004358202,4.5285160631206494e-05,ILV/WETH - 1.0%,0.12345461665537363
497,0xe5ac03619dcd34222ce60f9789be355faeb9c0d3,DAI,BPRO,0.003,173929.2557483863,2129.8192267708664,709939.7422569555,4.499984580807461e-05,DAI/BPRO - 0.3%,0.0008489935383204362
498,0x162cec59dfac80086d7370f11dcd8705a45c9333,WETH,GODS,0.01,173170.1255100485,540150.9366603298,54015093.66603298,4.480343984102519e-05,WETH/GODS - 1.0%,0.21533230104136372
499,0x03bc32cbaf0516945db77a32f2479379585aa17b,KNIGHT,WETH,0.01,172733.70353700445,4559.978282659669,455997.8282659671,4.469052656827108e-05,KNIGHT/WETH - 1.0%,0.0018179228707248182
500,0xb003df4b243f938132e8cadbeb237abc5a889fb4,WETH,EUL,0.01,171757.3712389438,63744.25303479261,6374425.303479262,4.4437924999425575e-05,WETH/EUL - 1.0%,0.025415309281851668
501,0x117439f6fdde9a09d28eb78759cd5c852a8653f0,AST,WETH,0.003,170675.5521671437,18198.115633092468,6066038.544364155,4.415803136558134e-05,AST/WETH - 0.3%,0.007256496245296576
502,0x07ed78c6c91ce18811ad281d0533819cf848075b,ERN,WETH,0.003,169697.02227807275,139775.86969262082,46591956.56420694,4.390486122501289e-05,ERN/WETH - 0.3%,0.05574097277654549
503,0x96b596d871d4cee20d9668e4aca51f6205fa39ea,H2O,USDC,0.0005,169028.4187441999,124.18140949649998,248362.81899299994,4.373187677911532e-05,H2O/USDC - 0.05%,4.95253415018427e-05
