,date,totalLiquidityUSD,chain,rank_desc,t90d_totalLiquidityUSD,current_tvl_share,prev_tvl_share
1384,2022-10-19,46416711200.57236,Ethereum,1,46858440618.31064,0.8008211425722501,0.7922173557576392
462,2022-10-19,1019631388.1672791,Optimism,1,343758626.92417485,0.017591560284102623,0.005811792856254994
718,2022-10-19,6467787281.846466,Binance,1,6519857333.864433,0.11158784556236907,0.11022868172298451
750,2022-10-19,1029875862.7689157,Arbitrum,1,669664428.2491258,0.017768306797229856,0.011321754962224782
740,2022-10-19,1366622137.8106487,Polygon,1,1753772589.5453203,0.02357814402526131,0.029650348265044577
624,2022-10-19,1660767917.5133708,Avalanche,1,3002971502.6842494,0.02865300075878694,0.05077006643585207
