,date,protocol,chain,usd_value,name,category,parentProtocol,net_dollar_flow,cumul_net_dollar_flow,rank_desc,pct_of_tvl,flow_direction,abs_cumul_net_dollar_flow
12846,2022-09-12 17:59:02,synapse,Avalanche,18362993.05785,Synapse,Cross Chain,Synapse,-932954.4749961036,-708667.477994064,1,-5.080623142735844,-1,708667.477994064
12633,2022-09-12 17:59:02,hyphen,Ethereum,1759278.5132900001,Hyphen,Bridge,Hyphen,-129436.97588471003,-714759.1440586948,1,-7.357389685994169,-1,714759.1440586948
13492,2022-09-12 17:59:07,qidao,Optimism,5260760.3623,QiDao,CDP,QiDao,-532767.4131472745,-778734.7284651811,1,-10.127194102305566,-1,778734.7284651811
13765,2022-09-12 17:59:07,yield-protocol,Ethereum,9327301.698730001,Yield Protocol,Lending,Yield Protocol,-3486.7763907152753,-816421.8708938087,1,-0.03738247676913927,-1,816421.8708938087
12555,2022-09-12 17:59:02,deri-protocol,Binance,2128250.93729,Deri Protocol,Derivatives,Deri Protocol,-700.1472077582537,-872661.6303574484,1,-0.0328977751397015,-1,872661.6303574484
12878,2022-09-12 17:59:02,uniswap,Polygon,73608381.37625,Uniswap,Dexes,Uniswap,147744.61927999556,-872927.618155169,1,0.20071711470572545,-1,872927.618155169
12798,2022-09-12 17:59:02,saddle-finance,Ethereum,36119427.1927,Saddle Finance,Dexes,Saddle Finance,-28751.942801074358,-908228.9275641316,1,-0.07960243291700189,-1,908228.9275641316
13333,2022-09-12 17:59:07,mcdex,Arbitrum,8082134.02501,MCDEX,Dexes,MCDEX,-336811.59554999974,-950451.3744379185,1,-4.167359691236784,-1,950451.3744379185
13234,2022-09-12 17:59:07,homora,Avalanche,22973205.41734,Homora,Yield,Homora,585627.462181905,-1006888.4043835219,1,2.549176101215192,-1,1006888.4043835219
13545,2022-09-12 17:59:07,sablier-finance,Ethereum,98968774.36641,Sablier Finance,Payments,Sablier Finance,-31851.93207529281,-1106404.8717877348,1,-0.032183819875719666,-1,1106404.8717877348
12567,2022-09-12 17:59:02,element-finance,Ethereum,42992760.99179,Element Finance,Yield,Element Finance,22535.74633460159,-1107934.0356479723,1,0.05241753684743595,-1,1107934.0356479723
12594,2022-09-12 17:59:02,flexa,Ethereum,142555603.77873,Flexa,Payments,Flexa,-525060.1108663329,-1108325.5987423984,1,-0.36831951669982294,-1,1108325.5987423984
13107,2022-09-12 17:59:07,ddex,Ethereum,2533001.43385,DDEX,Dexes,DDEX,-773.8661475695369,-1172434.1066783543,1,-0.030551350553059492,-1,1172434.1066783543
13055,2022-09-12 17:59:07,chainport,Ethereum,67165894.0,ChainPort,Bridge,ChainPort,-1386838.0,-1174891.044529175,1,-2.0647949687083744,-1,1174891.044529175
12744,2022-09-12 17:59:02,pancakeswap,Binance,3006876695.24845,PancakeSwap,Dexes,PancakeSwap,-8510813.125870228,-1193953.56142921,1,-0.28304496620427605,-1,1193953.56142921
12546,2022-09-12 17:59:02,defidollar-dao,Ethereum,14037591.70232,DefiDollar DAO,Algo-Stables,DefiDollar DAO,123.52914087246114,-1203238.7547557408,1,0.000879988131098338,-1,1203238.7547557408
12416,2022-09-12 17:56:59,dforce,Optimism,520741.74255,dForce,Lending,dForce,-71530.28204000002,-1215798.3558192714,1,-13.736229726798193,-1,1215798.3558192714
13438,2022-09-12 17:59:07,penrose,Polygon,5072783.02674,Penrose,Yield,Penrose,-110102.0217033164,-1254544.6224642736,1,-2.1704461066625385,-1,1254544.6224642736
12490,2022-09-12 17:59:02,beta-finance,Ethereum,8123186.5547,Beta Finance,Lending,Beta Finance,-133.42767271647332,-1263549.8973646893,1,-0.0016425533479749188,-1,1263549.8973646893
13143,2022-09-12 17:59:07,dystopia,Polygon,8275270.90548,Dystopia,Dexes,Dystopia,-102836.49118183438,-1263692.6685856564,1,-1.2426963703838942,-1,1263692.6685856564
12657,2022-09-12 17:59:02,knightswap-finance,Binance,27399166.70078,KnightSwap Finance,Dexes,KnightSwap Finance,-38296.0148754885,-1377692.6944213884,1,-0.13977072840831428,-1,1377692.6944213884
13612,2022-09-12 17:59:07,sushiswap,Polygon,54518793.81371,SushiSwap,Dexes,SushiSwap,-876930.5523100048,-1386484.8006187975,1,-1.6084922115233602,-1,1386484.8006187975
12402,2022-09-12 13:59:06,team-finance,Ethereum,90884540.70054,Team Finance,Launchpad,Team Finance,-473542.6272663068,-1399377.1455173627,1,-0.5210375973914045,-1,1399377.1455173627
12637,2022-09-12 17:59:02,index-coop,Ethereum,77131274.1803,Index Coop,Indexes,Index Coop,-27337.39219356961,-1409906.4941513436,1,-0.0354426819524159,-1,1409906.4941513436
12401,2022-09-12 13:59:06,team-finance,Binance,72747168.05936001,Team Finance,Launchpad,Team Finance,-50455.40836582332,-1429476.8636017577,1,-0.06935721308718557,-1,1429476.8636017577
12883,2022-09-12 17:59:02,valas-finance,Binance,29622815.56959,Valas Finance,Lending,Valas Finance,-91194.88952479463,-1432519.4892511107,1,-0.3078535506206672,-1,1432519.4892511107
13716,2022-09-12 17:59:07,vesta-finance,Arbitrum,22839261.43299,Vesta Finance,CDP,Vesta Finance,99433.57882065103,-1471019.5047540183,1,0.435362496779449,-1,1471019.5047540183
12919,2022-09-12 17:59:02,zipswap,Optimism,945458.87102,ZipSwap,Dexes,ZipSwap,1781.1967074636327,-1482879.3948192394,1,0.18839494366814755,-1,1482879.3948192394
11018,2022-09-11 07:59:20,sushiswap-kashi,Ethereum,307737233.7301,Sushiswap Kashi,Lending,SushiSwap,-24426.550183191892,-1492532.6209549748,1,-0.007937469862556548,-1,1492532.6209549748
12807,2022-09-12 17:59:02,set-protocol,Ethereum,100732162.64423999,Set Protocol,Indexes,Set Protocol,-76614.01659642842,-1542727.4270924865,1,-0.07605715452274103,-1,1542727.4270924865
13015,2022-09-12 17:59:07,biswap,Binance,280149461.53816,BiSwap,Dexes,BiSwap,-690809.9101230159,-1641969.635927504,1,-0.24658619949869814,-1,1641969.635927504
12734,2022-09-12 17:59:02,opium,Polygon,403864.20138000004,Opium,Options,Opium,-813.2001371414019,-1706949.1680943037,1,-0.20135484510949597,-1,1706949.1680943037
13744,2022-09-12 17:59:07,xdai-stake-bridge,Ethereum,243004637.80469,xDAI Stake Bridge,Chain,xDAI Stake Bridge,-16869.38695976426,-1758175.0320034483,1,-0.00694200205895769,-1,1758175.0320034483
13510,2022-09-12 17:59:07,reflexer,Ethereum,49979387.4432,Reflexer,CDP,Reflexer,0.0,-1758790.0356622438,1,0.0,-1,1758790.0356622438
13478,2022-09-12 17:59:07,pooltogether,Optimism,30650189.04506,PoolTogether,Services,PoolTogether,-826136.2254190943,-1776511.124527455,1,-2.6953707339441206,-1,1776511.124527455
13004,2022-09-12 17:59:07,beefy,Binance,61698099.18,Beefy,Yield Aggregator,Beefy,-419150.1000000015,-1823990.304410631,1,-0.6793565856496805,-1,1823990.304410631
12612,2022-09-12 17:59:02,hashflow,Ethereum,12990749.01984,Hashflow,Dexes,Hashflow,-1688690.5855482668,-1844612.3489700851,1,-12.999177976337084,-1,1844612.3489700851
13457,2022-09-12 17:59:07,pinksale,Binance,207955711.06045002,PinkSale,Launchpad,PinkSale,-988826.764345202,-1850552.9716236577,1,-0.47549872965872186,-1,1850552.9716236577
12928,2022-09-12 17:59:07,aave-v1,Ethereum,30387642.71105,AAVE V1,Lending,AAVE,-4193.577897707388,-1850553.2411354627,1,-0.01380027380729489,-1,1850553.2411354627
13076,2022-09-12 17:59:07,concentrator,Ethereum,85279513.28084,Concentrator,Yield,Concentrator,296380.3983485639,-1889250.5260884622,1,0.347539974076227,-1,1889250.5260884622
13291,2022-09-12 17:59:07,kyberswap,Avalanche,9031391.082630001,KyberSwap,Dexes,KyberSwap,-13972.36029238759,-1931552.241886173,1,-0.15470883903212335,-1,1931552.241886173
13316,2022-09-12 17:59:07,loopring,Ethereum,163555427.30365,Loopring,Dexes,Loopring,73145.89323902546,-1936260.2000700543,1,0.04472238827221914,-1,1936260.2000700543
