,date,token,token_value,usd_value,protocol,chain,last_token_value
13102,2022-10-18 00:00:00,DHT,,,uniswap,Optimism,
2338,2022-10-18 00:00:00,DAI,,,uniswap,Optimism,
13570,2022-10-18 00:00:00,EST,,,uniswap,Optimism,
6082,2022-10-18 00:00:00,RAI,,,uniswap,Optimism,
933,2022-10-17 00:00:00,SETH,,,uniswap,Optimism,
13569,2022-10-17 00:00:00,EST,,,uniswap,Optimism,
15909,2022-10-17 00:00:00,OP,,,uniswap,Optimism,
2805,2022-10-17 00:00:00,UNI,,,uniswap,Optimism,
10293,2022-10-17 00:00:00,DCN,,,uniswap,Optimism,
12165,2022-10-17 00:00:00,PERP,,,uniswap,Optimism,
7485,2022-10-17 00:00:00,RETH,,,uniswap,Optimism,
12633,2022-10-17 00:00:00,SPANK,,,uniswap,Optimism,
10761,2022-10-17 00:00:00,WPC,,,uniswap,Optimism,
1869,2022-10-17 00:00:00,WETH,,,uniswap,Optimism,
2337,2022-10-17 00:00:00,DAI,,,uniswap,Optimism,
5613,2022-10-17 00:00:00,USDC,,,uniswap,Optimism,
11697,2022-10-17 00:00:00,MKR,,,uniswap,Optimism,
7953,2022-10-17 00:00:00,PAPER,,,uniswap,Optimism,
18717,2022-10-17 00:00:00,LUSD,,,uniswap,Optimism,
15441,2022-10-17 00:00:00,EQZ,,,uniswap,Optimism,
9357,2022-10-17 00:00:00,SARCO,,,uniswap,Optimism,
9825,2022-10-17 00:00:00,LYRA,,,uniswap,Optimism,
13101,2022-10-17 00:00:00,DHT,,,uniswap,Optimism,
14037,2022-10-17 00:00:00,XCHF,,,uniswap,Optimism,
14973,2022-10-17 00:00:00,THALES,,,uniswap,Optimism,
5145,2022-10-17 00:00:00,LINK,,,uniswap,Optimism,
6549,2022-10-17 00:00:00,SNX,,,uniswap,Optimism,
7017,2022-10-17 00:00:00,RGT,,,uniswap,Optimism,
11229,2022-10-17 00:00:00,KROM,,,uniswap,Optimism,
6081,2022-10-17 00:00:00,RAI,,,uniswap,Optimism,
1401,2022-10-17 00:00:00,0XBTC,,,uniswap,Optimism,
3273,2022-10-17 00:00:00,WBTC,,,uniswap,Optimism,
14505,2022-10-17 00:00:00,HND,,,uniswap,Optimism,
465,2022-10-17 00:00:00,USDT,54574265.70237,54518054.20869,uniswap,Optimism,53155838.27767
17313,2022-10-17 00:00:00,AAVE,,,uniswap,Optimism,
16845,2022-10-17 00:00:00,WSTETH,,,uniswap,Optimism,
17781,2022-10-17 00:00:00,BOB,,,uniswap,Optimism,
18249,2022-10-17 00:00:00,AELIN,,,uniswap,Optimism,
4677,2022-10-17 00:00:00,SBTC,,,uniswap,Optimism,
8421,2022-10-17 00:00:00,ENS,,,uniswap,Optimism,
4209,2022-10-17 00:00:00,SLINK,,,uniswap,Optimism,
3741,2022-10-17 00:00:00,SUSD,,,uniswap,Optimism,
16377,2022-10-17 00:00:00,CRV,,,uniswap,Optimism,
8889,2022-10-17 00:00:00,BITANT,,,uniswap,Optimism,
5612,2022-10-16 00:00:00,USDC,,,uniswap,Optimism,
12164,2022-10-16 00:00:00,PERP,,,uniswap,Optimism,
15440,2022-10-16 00:00:00,EQZ,,,uniswap,Optimism,
7952,2022-10-16 00:00:00,PAPER,,,uniswap,Optimism,
12632,2022-10-16 00:00:00,SPANK,,,uniswap,Optimism,
17312,2022-10-16 00:00:00,AAVE,,,uniswap,Optimism,
11228,2022-10-16 00:00:00,KROM,,,uniswap,Optimism,
3272,2022-10-16 00:00:00,WBTC,,,uniswap,Optimism,
13100,2022-10-16 00:00:00,DHT,,,uniswap,Optimism,
5144,2022-10-16 00:00:00,LINK,,,uniswap,Optimism,
14504,2022-10-16 00:00:00,HND,,,uniswap,Optimism,
9356,2022-10-16 00:00:00,SARCO,,,uniswap,Optimism,
464,2022-10-16 00:00:00,USDT,53155838.27767,53155838.27767,uniswap,Optimism,51838718.37791
4208,2022-10-16 00:00:00,SLINK,,,uniswap,Optimism,
10292,2022-10-16 00:00:00,DCN,,,uniswap,Optimism,
8420,2022-10-16 00:00:00,ENS,,,uniswap,Optimism,
14972,2022-10-16 00:00:00,THALES,,,uniswap,Optimism,
11696,2022-10-16 00:00:00,MKR,,,uniswap,Optimism,
18716,2022-10-16 00:00:00,LUSD,,,uniswap,Optimism,
8888,2022-10-16 00:00:00,BITANT,,,uniswap,Optimism,
7016,2022-10-16 00:00:00,RGT,,,uniswap,Optimism,
932,2022-10-16 00:00:00,SETH,,,uniswap,Optimism,
13568,2022-10-16 00:00:00,EST,,,uniswap,Optimism,
7484,2022-10-16 00:00:00,RETH,,,uniswap,Optimism,
1400,2022-10-16 00:00:00,0XBTC,,,uniswap,Optimism,
3740,2022-10-16 00:00:00,SUSD,,,uniswap,Optimism,
2336,2022-10-16 00:00:00,DAI,,,uniswap,Optimism,
9824,2022-10-16 00:00:00,LYRA,,,uniswap,Optimism,
10760,2022-10-16 00:00:00,WPC,,,uniswap,Optimism,
18248,2022-10-16 00:00:00,AELIN,,,uniswap,Optimism,
4676,2022-10-16 00:00:00,SBTC,,,uniswap,Optimism,
6548,2022-10-16 00:00:00,SNX,,,uniswap,Optimism,
15908,2022-10-16 00:00:00,OP,,,uniswap,Optimism,
17780,2022-10-16 00:00:00,BOB,,,uniswap,Optimism,
6080,2022-10-16 00:00:00,RAI,,,uniswap,Optimism,
1868,2022-10-16 00:00:00,WETH,,,uniswap,Optimism,
14036,2022-10-16 00:00:00,XCHF,,,uniswap,Optimism,
16844,2022-10-16 00:00:00,WSTETH,,,uniswap,Optimism,
2804,2022-10-16 00:00:00,UNI,,,uniswap,Optimism,
16376,2022-10-16 00:00:00,CRV,,,uniswap,Optimism,
7951,2022-10-15 00:00:00,PAPER,,,uniswap,Optimism,
4675,2022-10-15 00:00:00,SBTC,,,uniswap,Optimism,
7483,2022-10-15 00:00:00,RETH,,,uniswap,Optimism,
1867,2022-10-15 00:00:00,WETH,,,uniswap,Optimism,
17311,2022-10-15 00:00:00,AAVE,,,uniswap,Optimism,
8419,2022-10-15 00:00:00,ENS,,,uniswap,Optimism,
10291,2022-10-15 00:00:00,DCN,,,uniswap,Optimism,
14503,2022-10-15 00:00:00,HND,,,uniswap,Optimism,
3271,2022-10-15 00:00:00,WBTC,,,uniswap,Optimism,
5611,2022-10-15 00:00:00,USDC,,,uniswap,Optimism,
11695,2022-10-15 00:00:00,MKR,,,uniswap,Optimism,
9823,2022-10-15 00:00:00,LYRA,,,uniswap,Optimism,
16843,2022-10-15 00:00:00,WSTETH,,,uniswap,Optimism,
14035,2022-10-15 00:00:00,XCHF,,,uniswap,Optimism,
17779,2022-10-15 00:00:00,BOB,,,uniswap,Optimism,
6547,2022-10-15 00:00:00,SNX,,,uniswap,Optimism,
2335,2022-10-15 00:00:00,DAI,,,uniswap,Optimism,
6079,2022-10-15 00:00:00,RAI,,,uniswap,Optimism,
13567,2022-10-15 00:00:00,EST,,,uniswap,Optimism,
