,date,protocol,chain,usd_value,net_dollar_flow,net_dollar_flow_latest_price,rank_desc,mark_at_latest_price,cumul_net_dollar_flow,flow_direction,abs_cumul_net_dollar_flow,cumul_net_dollar_flow_1d,flow_direction_1d,abs_cumul_net_dollar_flow_1d,cumul_net_dollar_flow_7d,flow_direction_7d,abs_cumul_net_dollar_flow_7d,cumul_net_dollar_flow_30d,flow_direction_30d,abs_cumul_net_dollar_flow_30d,cumul_net_dollar_flow_90d,flow_direction_90d,abs_cumul_net_dollar_flow_90d,cumul_net_dollar_flow_180d,flow_direction_180d,abs_cumul_net_dollar_flow_180d,cumul_net_dollar_flow_365d,flow_direction_365d,abs_cumul_net_dollar_flow_365d,pct_of_tvl
272441,2023-01-06 00:00:00,renvm,Arbitrum,405810.12165,-157.8836484415306,-157.8836484415306,1,1,-11123114.124691447,-1,11123114.124691447,-157.8836484415306,-1,157.8836484415306,-350.0141176847256,-1,350.0141176847256,-122788.39651436263,-1,122788.39651436263,-7634778.813747486,-1,7634778.813747486,-7405671.065311954,-1,7405671.065311954,-11136526.688899308,-1,11136526.688899308,-0.03890579362574423
272418,2023-01-06 00:00:00,qidao,Optimism,3614262.91136,33529.54666707389,33529.54666707389,1,1,3564681.8536376297,1,3564681.8536376297,33529.54666707389,1,33529.54666707389,200932.83421987793,1,200932.83421987793,883789.8673708534,1,883789.8673708534,686304.2920457015,1,686304.2920457015,-101479.2758665699,-1,101479.2758665699,3564681.8536376297,1,3564681.8536376297,0.9277008200396014
272432,2023-01-06 00:00:00,rage-trade,Arbitrum,13422822.01498,11393.119769999757,11393.119769999757,1,1,11856316.588023694,1,11856316.588023694,11393.119769999757,1,11393.119769999757,20320.700109999627,1,20320.700109999627,10129801.521067198,1,10129801.521067198,11752790.562370656,1,11752790.562370656,11856316.588023694,1,11856316.588023694,11856316.588023694,1,11856316.588023694,0.08487872190575815
272417,2023-01-06 00:00:00,qidao,Moonriver,68.13107,0.0,0.0,1,1,-2269.7545625746016,-1,2269.7545625746016,0.0,1,0.0,0.0,1,0.0,-484.1467628707144,-1,484.1467628707144,-1382.9271064104491,-1,1382.9271064104491,-165.5831307219246,-1,165.5831307219246,-2264.917227905461,-1,2264.917227905461,0.0
272408,2023-01-06 00:00:00,pooltogether,Polygon,4248974.97492,-8375.925798230935,-8375.925798230935,1,1,-19284579.081156176,-1,19284579.081156176,-8375.925798230935,-1,8375.925798230935,-65093.162414208244,-1,65093.162414208244,-253439.37615969154,-1,253439.37615969154,-2194558.513534973,-1,2194558.513534973,-18399228.83890067,-1,18399228.83890067,-19284579.081156176,-1,19284579.081156176,-0.1971281508521626
272415,2023-01-06 00:00:00,qidao,Metis,2397475.01491,-21197.018723536956,-21197.018723536956,1,1,2352583.7389502213,1,2352583.7389502213,-21197.018723536956,-1,21197.018723536956,9065.632630108888,1,9065.632630108888,282803.2451558501,1,282803.2451558501,1035887.2832220586,1,1035887.2832220586,2352583.7389502213,1,2352583.7389502213,2352583.7389502213,1,2352583.7389502213,-0.8841392962058745
272398,2023-01-06 00:00:00,pnetwork,Ethereum,4758449.08676,-64784.54553999938,-64784.54553999938,1,1,-59051338.26169,-1,59051338.26169,-64784.54553999938,-1,64784.54553999938,2305.873159999959,1,2305.873159999959,-23091694.63572,-1,23091694.63572,-35005748.31565,-1,35005748.31565,-9591996.03932,-1,9591996.03932,-59051338.26169,-1,59051338.26169,-1.36146345918163
272399,2023-01-06 00:00:00,pnetwork,LBRY,1255361.87582,6141.121210000012,6141.121210000012,1,1,1239613.81012,1,1239613.81012,6141.121210000012,1,6141.121210000012,174728.77093999996,1,174728.77093999996,1229364.02158,1,1229364.02158,1227952.6435,1,1227952.6435,1239613.81012,1,1239613.81012,1239613.81012,1,1239613.81012,0.48919131035333085
272400,2023-01-06 00:00:00,pnetwork,Polygon,2999364.14816,1171.4005799996667,1171.4005799996667,1,1,-8078829.646330001,-1,8078829.646330001,1171.4005799996667,1,1171.4005799996667,-192.28757000016049,-1,192.28757000016049,-7177276.427820001,-1,7177276.427820001,-7249127.520480001,-1,7249127.520480001,-7995992.58361,-1,7995992.58361,-8078829.646330001,-1,8078829.646330001,0.0390549637235038
272401,2023-01-06 00:00:00,pnetwork,Telos,114132.1842,-302.7207899999921,-302.7207899999921,1,1,-667956.3754900005,-1,667956.3754900005,-302.7207899999921,-1,302.7207899999921,-17467.742270000002,-1,17467.742270000002,-6365331.5723,-1,6365331.5723,-8412039.71843,-1,8412039.71843,-454903.1263100004,-1,454903.1263100004,-667956.3754900005,-1,667956.3754900005,-0.26523700752937324
272402,2023-01-06 00:00:00,pnetwork,Ultra,5212146.43202,-43453.54968999978,-43453.54968999978,1,1,-1157871.1978599997,-1,1157871.1978599997,-43453.54968999978,-1,43453.54968999978,135537.7497199988,1,135537.7497199988,-718313.2635500003,-1,718313.2635500003,-12785660.384569999,-1,12785660.384569999,-639924.5385299996,-1,639924.5385299996,-1157871.1978599997,-1,1157871.1978599997,-0.8336977914329066
272403,2023-01-06 00:00:00,pooltogether,Avalanche,196543.87793,4927.718267997523,4927.718267997523,1,1,-1331854.0401475383,-1,1331854.0401475383,4927.718267997523,1,4927.718267997523,-13286.075860570221,-1,13286.075860570221,-8935.305960673693,-1,8935.305960673693,-104861.23950028997,-1,104861.23950028997,-756179.8790653268,-1,756179.8790653268,-1331854.0401475383,-1,1331854.0401475383,2.507184817912544
272404,2023-01-06 00:00:00,pooltogether,Binance,5162.41723,0.0,0.0,1,1,-6577.004817196609,-1,6577.004817196609,0.0,1,0.0,-11.740853206967653,-1,11.740853206967653,-40.69154990402666,-1,40.69154990402666,-305.45358986960935,-1,305.45358986960935,-589.194519299264,-1,589.194519299264,-6577.004817196609,-1,6577.004817196609,0.0
272416,2023-01-06 00:00:00,qidao,Moonbeam,16496.90764,0.0,0.0,1,1,-11121.792820415587,-1,11121.792820415587,0.0,1,0.0,-1955.054164768089,-1,1955.054164768089,-2136.9242833582466,-1,2136.9242833582466,-11121.792820415587,-1,11121.792820415587,-11121.792820415587,-1,11121.792820415587,-11121.792820415587,-1,11121.792820415587,0.0
272405,2023-01-06 00:00:00,pooltogether,Celo,99467.53905,0.0,0.0,1,1,-3237909.699904016,-1,3237909.699904016,0.0,1,0.0,-248.81865920605105,-1,248.81865920605105,-5857.08315939797,-1,5857.08315939797,-29292.611979593792,-1,29292.611979593792,-395556.7268840151,-1,395556.7268840151,-3237909.699904016,-1,3237909.699904016,0.0
272407,2023-01-06 00:00:00,pooltogether,Optimism,31389082.78644,-348781.2165937955,-348781.2165937955,1,1,29661383.217124358,1,29661383.217124358,-348781.2165937955,-1,348781.2165937955,-4559622.301393957,-1,4559622.301393957,-220649.01889029442,-1,220649.01889029442,31389082.786439996,1,31389082.786439996,29661383.217124358,1,29661383.217124358,29661383.217124358,1,29661383.217124358,-1.1111545340995692
