,date,native_fees,price_usd,fees_usd
0,2022-07-12,102129.17208400664,0.1104960767433865,11284.872836332925
1,2022-07-13,109371.94465503466,0.11589756679416187,12675.942261064254
2,2022-07-14,112582.3928712412,0.1184166113684298,13331.625463561651
3,2022-07-15,107440.81006429024,0.11985990016181075,12877.8447676099
4,2022-07-16,101635.0557776498,0.122626099199303,12463.110431916777
5,2022-07-17,94826.28124194908,0.12084140247093812,11458.940816380738
6,2022-07-18,122697.3813140798,0.131754300443554,16165.907641292577
7,2022-07-19,120078.00226072536,0.13507450630254295,16219.476873163114
8,2022-07-20,108249.48772279274,0.13231090155714048,14322.587313701317
9,2022-07-21,98782.08223173172,0.13457723162852117,13293.819161247386
10,2022-07-22,100342.16932223426,0.13118171261948552,13163.057619645091
11,2022-07-23,101785.25012782944,0.12683539299295885,12909.972200849861
12,2022-07-24,96814.15831570888,0.12873185927540695,12463.066604164804
13,2022-07-25,108455.09806376838,0.12029516895746088,13046.624345879007
14,2022-07-26,102842.82361237974,0.12041367278976134,12383.682111236236
15,2022-07-27,97274.3484991839,0.13118296828534803,12760.737774146335
16,2022-07-28,106392.98456089418,0.1351240552376117,14376.251522700635
17,2022-07-29,119482.10017272586,0.13812624399063672,16503.61372097163
18,2022-07-30,94363.64865556614,0.13788946504936053,13011.753033221825
19,2022-07-31,123276.8746542138,0.13744337694215705,16943.589951350154
20,2022-08-01,121716.57983913296,0.13951886596262683,16981.75918800536
21,2022-08-02,143957.85319368565,0.1530772203195039,22036.668010052617
22,2022-08-03,160042.4745348055,0.14634053152111273,23420.700789377584
23,2022-08-04,119681.4186341613,0.143739517608252,17202.949381145605
24,2022-08-05,106825.08536018564,0.1469511903965287,15698.07345789007
25,2022-08-06,115844.09371694834,0.14497626668032287,16794.644224048618
26,2022-08-07,110597.56636592161,0.14676006456577245,16231.30598067996
27,2022-08-08,133137.23859249745,0.15086578321600783,20085.85377547363
28,2022-08-09,116493.92962361698,0.14610805090094434,17020.700999098455
