,date,protocol,chain,usd_value,net_dollar_flow,rank_desc,cumul_net_dollar_flow,flow_direction,abs_cumul_net_dollar_flow,cumul_net_dollar_flow_1d,flow_direction_1d,abs_cumul_net_dollar_flow_1d,cumul_net_dollar_flow_7d,flow_direction_7d,abs_cumul_net_dollar_flow_7d,cumul_net_dollar_flow_30d,flow_direction_30d,abs_cumul_net_dollar_flow_30d,cumul_net_dollar_flow_90d,flow_direction_90d,abs_cumul_net_dollar_flow_90d,cumul_net_dollar_flow_180d,flow_direction_180d,abs_cumul_net_dollar_flow_180d,cumul_net_dollar_flow_365d,flow_direction_365d,abs_cumul_net_dollar_flow_365d,pct_of_tvl
52335,2022-11-07,pnetwork,Binance,0.0,-10374712.99113,1,-10567315.16439131,-1,10567315.16439131,-10374712.99113,-1,10374712.99113,-10371174.094270818,-1,10371174.094270818,-10646362.416001718,-1,10646362.416001718,-10567315.16439131,-1,10567315.16439131,-10567315.16439131,-1,10567315.16439131,-10567315.16439131,-1,10567315.16439131,-inf
68469,2022-11-23,deus-finance,Polygon,0.0,-604.01655,1,-604.01655,-1,604.01655,-604.01655,-1,604.01655,-604.01655,-1,604.01655,-604.01655,-1,604.01655,-604.01655,-1,604.01655,-604.01655,-1,604.01655,-604.01655,-1,604.01655,-inf
83495,2022-12-07,renvm,Kava,0.0,-5.52434,1,-5.52434,-1,5.52434,-5.52434,-1,5.52434,-5.52434,-1,5.52434,-5.52434,-1,5.52434,-5.52434,-1,5.52434,-5.52434,-1,5.52434,-5.52434,-1,5.52434,-inf
92901,2022-12-15,quickswap-dex,Polygon,0.0,-145369778.74459,1,-245866197.2553636,-1,245866197.2553636,-145369778.74459,-1,145369778.74459,-155293557.684225,-1,155293557.684225,-167237147.93256834,-1,167237147.93256834,-234015551.4251976,-1,234015551.4251976,-245866197.2553636,-1,245866197.2553636,-245866197.2553636,-1,245866197.2553636,-inf
92897,2022-12-15,qidao,Optimism,0.0,-2892501.8930900004,1,-4352196.597344311,-1,4352196.597344311,-2892501.8930900004,-1,2892501.8930900004,-2813726.6692520725,-1,2813726.6692520725,-3234910.870723131,-1,3234910.870723131,-3840599.930597826,-1,3840599.930597826,-4352196.597344311,-1,4352196.597344311,-4352196.597344311,-1,4352196.597344311,-inf
92898,2022-12-15,qidao,Polygon,0.0,-24825514.36131,1,-34299705.5050613,-1,34299705.5050613,-24825514.36131,-1,24825514.36131,-24699443.52274038,-1,24699443.52274038,-25024242.013870124,-1,25024242.013870124,-34283215.13562576,-1,34283215.13562576,-34299705.5050613,-1,34299705.5050613,-34299705.5050613,-1,34299705.5050613,-inf
92899,2022-12-15,qidao,xDai,0.0,-50444.42863,1,-695509.4555471402,-1,695509.4555471402,-50444.42863,-1,50444.42863,-50903.95115869512,-1,50903.95115869512,-50304.06355923249,-1,50304.06355923249,-670034.6282254977,-1,670034.6282254977,-695509.4555471402,-1,695509.4555471402,-695509.4555471402,-1,695509.4555471402,-inf
92900,2022-12-15,quarry,Solana,0.0,-35364506.62493,1,-78416529.4736751,-1,78416529.4736751,-35364506.62493,-1,35364506.62493,-35490154.09711456,-1,35490154.09711456,-40112645.840452194,-1,40112645.840452194,-77645576.48779234,-1,77645576.48779234,-78416529.4736751,-1,78416529.4736751,-78416529.4736751,-1,78416529.4736751,-inf
92896,2022-12-15,qidao,Moonriver,0.0,-565.53037,1,-1388.7531510757049,-1,1388.7531510757049,-565.53037,-1,565.53037,-565.4803689240554,-1,565.4803689240554,-565.7015228223859,-1,565.7015228223859,-1388.224851138289,-1,1388.224851138289,-1388.7531510757049,-1,1388.7531510757049,-1388.7531510757049,-1,1388.7531510757049,-inf
92902,2022-12-15,quickswap-v3,Dogechain,0.0,-1638274.52379,1,-1676462.6350636303,-1,1676462.6350636303,-1638274.52379,-1,1638274.52379,-1632210.8846010668,-1,1632210.8846010668,-1664347.319172408,-1,1664347.319172408,-1676462.6350636303,-1,1676462.6350636303,-1676462.6350636303,-1,1676462.6350636303,-1676462.6350636303,-1,1676462.6350636303,-inf
92921,2022-12-15,reaper-farm,Optimism,0.0,-15326898.36968,1,-792738.6367890257,-1,792738.6367890257,-15326898.36968,-1,15326898.36968,-14569402.070436139,-1,14569402.070436139,-18814158.862708695,-1,18814158.862708695,-801718.8452059571,-1,801718.8452059571,-792738.6367890257,-1,792738.6367890257,-792738.6367890257,-1,792738.6367890257,-inf
92904,2022-12-15,radiant,Arbitrum,0.0,-28606620.680069998,1,-49832334.557389006,-1,49832334.557389006,-28606620.680069998,-1,28606620.680069998,-26906727.44437512,-1,26906727.44437512,-25860370.394433346,-1,25860370.394433346,-52785035.12792724,-1,52785035.12792724,-49832334.557389006,-1,49832334.557389006,-49832334.557389006,-1,49832334.557389006,-inf
92911,2022-12-15,rage-trade,Arbitrum,0.0,-13594940.3972,1,-1564483.239563927,-1,1564483.239563927,-13594940.3972,-1,13594940.3972,-3305618.3063399233,-1,3305618.3063399233,-3255109.203979764,-1,3255109.203979764,-1099892.10414177,-1,1099892.10414177,-1564483.239563927,-1,1564483.239563927,-1564483.239563927,-1,1564483.239563927,-inf
92912,2022-12-15,rari-capital,Arbitrum,0.0,-1075.84923,1,-6039.134120440367,-1,6039.134120440367,-1075.84923,-1,1075.84923,-1075.84923,-1,1075.84923,-1075.84923,-1,1075.84923,-6039.72319783504,-1,6039.72319783504,-6039.134120440367,-1,6039.134120440367,-6039.134120440367,-1,6039.134120440367,-inf
92914,2022-12-15,rari-capital,Ethereum,0.0,-15284972.23477,1,-25624432.883089237,-1,25624432.883089237,-15284972.23477,-1,15284972.23477,-15637636.587026142,-1,15637636.587026142,-18306587.253822897,-1,18306587.253822897,-25443646.353523284,-1,25443646.353523284,-25624432.883089237,-1,25624432.883089237,-25624432.883089237,-1,25624432.883089237,-inf
92919,2022-12-15,realt-tokens,xDai,0.0,-62220947.18840001,1,-54507879.38624744,-1,54507879.38624744,-62220947.18840001,-1,62220947.18840001,-62220947.18840001,-1,62220947.18840001,-59121093.64540001,-1,59121093.64540001,-54801291.69283485,-1,54801291.69283485,-54507879.38624744,-1,54507879.38624744,-54507879.38624744,-1,54507879.38624744,-inf
92920,2022-12-15,reaper-farm,Fantom,0.0,-10366296.97414,1,-10439444.0218116,-1,10439444.0218116,-10366296.97414,-1,10366296.97414,-12258096.567470968,-1,12258096.567470968,-8240353.043843178,-1,8240353.043843178,-10202887.720868938,-1,10202887.720868938,-10439444.0218116,-1,10439444.0218116,-10439444.0218116,-1,10439444.0218116,-inf
92895,2022-12-15,qidao,Moonbeam,0.0,-22628.5706,1,-30498.654454234435,-1,30498.654454234435,-22628.5706,-1,22628.5706,-23082.78847049238,-1,23082.78847049238,-29617.546396599675,-1,29617.546396599675,-30498.654454234435,-1,30498.654454234435,-30498.654454234435,-1,30498.654454234435,-30498.654454234435,-1,30498.654454234435,-inf
92922,2022-12-15,redacted-protocol,Ethereum,0.0,-14527300.72143,1,-18448249.516705975,-1,18448249.516705975,-14527300.72143,-1,14527300.72143,-14426694.84313013,-1,14426694.84313013,-14773385.261491884,-1,14773385.261491884,-18445451.657593947,-1,18445451.657593947,-18448249.516705975,-1,18448249.516705975,-18448249.516705975,-1,18448249.516705975,-inf
92903,2022-12-15,quickswap-v3,Polygon,0.0,-33969520.38426,1,-25772399.952919494,-1,25772399.952919494,-33969520.38426,-1,33969520.38426,-34661677.69922339,-1,34661677.69922339,-31145976.096252833,-1,31145976.096252833,-25772399.952919494,-1,25772399.952919494,-25772399.952919494,-1,25772399.952919494,-25772399.952919494,-1,25772399.952919494,-inf
92894,2022-12-15,qidao,Metis,0.0,-2363744.99908,1,-1601395.61359661,-1,1601395.61359661,-2363744.99908,-1,2363744.99908,-2290107.2649893197,-1,2290107.2649893197,-2181944.6514288723,-1,2181944.6514288723,-1434542.5569038931,-1,1434542.5569038931,-1601395.61359661,-1,1601395.61359661,-1601395.61359661,-1,1601395.61359661,-inf
92885,2022-12-15,pooltogether,Ethereum,0.0,-6197007.5256199995,1,-11212789.75857957,-1,11212789.75857957,-6197007.5256199995,-1,6197007.5256199995,-6175686.127166688,-1,6175686.127166688,-6238870.199568234,-1,6238870.199568234,-11212789.75857957,-1,11212789.75857957,-11212789.75857957,-1,11212789.75857957,-11212789.75857957,-1,11212789.75857957,-inf
92892,2022-12-15,qidao,Fantom,0.0,-11493162.54585,1,-14055347.47949783,-1,14055347.47949783,-11493162.54585,-1,11493162.54585,-11467473.575538112,-1,11467473.575538112,-11120123.192804378,-1,11120123.192804378,-13642468.472126383,-1,13642468.472126383,-14055347.47949783,-1,14055347.47949783,-14055347.47949783,-1,14055347.47949783,-inf
92925,2022-12-15,ref-finance,Near,0.0,-57826150.627909996,1,-214855963.552398,-1,214855963.552398,-57826150.627909996,-1,57826150.627909996,-57940998.8425418,-1,57940998.8425418,-70085775.17519164,-1,70085775.17519164,-214855963.552398,-1,214855963.552398,-214855963.552398,-1,214855963.552398,-214855963.552398,-1,214855963.552398,-inf
92870,2022-12-15,pinksale,Cronos,0.0,-68021.74485,1,-64937.70067231328,-1,64937.70067231328,-68021.74485,-1,68021.74485,-68479.27103316865,-1,68479.27103316865,-68158.32141694108,-1,68158.32141694108,-64855.571584368765,-1,64855.571584368765,-64937.70067231328,-1,64937.70067231328,-64937.70067231328,-1,64937.70067231328,-inf
92869,2022-12-15,pinksale,Binance,0.0,-173028463.01380002,1,-196480632.94564962,-1,196480632.94564962,-173028463.01380002,-1,173028463.01380002,-172154895.98917428,-1,172154895.98917428,-185604462.71246013,-1,185604462.71246013,-197252540.37415838,-1,197252540.37415838,-196480632.94564962,-1,196480632.94564962,-196480632.94564962,-1,196480632.94564962,-inf
92871,2022-12-15,pinksale,Ethereum,0.0,-5861315.62934,1,-5674099.362739215,-1,5674099.362739215,-5861315.62934,-1,5861315.62934,-5709799.427400852,-1,5709799.427400852,-5411865.188046723,-1,5411865.188046723,-5744304.231082255,-1,5744304.231082255,-5674099.362739215,-1,5674099.362739215,-5674099.362739215,-1,5674099.362739215,-inf
92872,2022-12-15,pinksale,Fantom,0.0,-18936.81958,1,-22533.091455641796,-1,22533.091455641796,-18936.81958,-1,18936.81958,-18890.561280252798,-1,18890.561280252798,-20346.990980279894,-1,20346.990980279894,-22526.21295147039,-1,22526.21295147039,-22533.091455641796,-1,22533.091455641796,-22533.091455641796,-1,22533.091455641796,-inf
92873,2022-12-15,pinksale,Polygon,0.0,-220451.19473999998,1,-223018.07508738452,-1,223018.07508738452,-220451.19473999998,-1,220451.19473999998,-276701.222449346,-1,276701.222449346,-196244.8055896546,-1,196244.8055896546,-224699.74025601667,-1,224699.74025601667,-223018.07508738452,-1,223018.07508738452,-223018.07508738452,-1,223018.07508738452,-inf
92874,2022-12-15,platypus-finance,Avalanche,0.0,-36546429.33142,1,-114214915.49216643,-1,114214915.49216643,-36546429.33142,-1,36546429.33142,-37277996.17540595,-1,37277996.17540595,-40693292.931028515,-1,40693292.931028515,-121888110.42362705,-1,121888110.42362705,-114214915.49216643,-1,114214915.49216643,-114214915.49216643,-1,114214915.49216643,-inf
92877,2022-12-15,plutusdao,Arbitrum,0.0,-13588151.00197,1,-12173809.684249029,-1,12173809.684249029,-13588151.00197,-1,13588151.00197,-11046761.51008992,-1,11046761.51008992,-11401097.368124502,-1,11401097.368124502,-12173809.684249029,-1,12173809.684249029,-12173809.684249029,-1,12173809.684249029,-12173809.684249029,-1,12173809.684249029,-inf
92882,2022-12-15,pooltogether,Avalanche,0.0,-214655.96929,1,-351518.40281650703,-1,351518.40281650703,-214655.96929,-1,214655.96929,-204694.27633531083,-1,204694.27633531083,-230082.84898308114,-1,230082.84898308114,-351518.40281650703,-1,351518.40281650703,-351518.40281650703,-1,351518.40281650703,-351518.40281650703,-1,351518.40281650703,-inf
92883,2022-12-15,pooltogether,Binance,0.0,-5592.29418,1,-5807.9400766267345,-1,5807.9400766267345,-5592.29418,-1,5592.29418,-5592.29418,-1,5592.29418,-5843.41507653762,-1,5843.41507653762,-5807.9400766267345,-1,5807.9400766267345,-5807.9400766267345,-1,5807.9400766267345,-5807.9400766267345,-1,5807.9400766267345,-inf
92884,2022-12-15,pooltogether,Celo,0.0,-105119.86121,1,-132631.82134055218,-1,132631.82134055218,-105119.86121,-1,105119.86121,-105521.98835817237,-1,105521.98835817237,-125142.17130758028,-1,125142.17130758028,-132631.82134055218,-1,132631.82134055218,-132631.82134055218,-1,132631.82134055218,-132631.82134055218,-1,132631.82134055218,-inf
92886,2022-12-15,pooltogether,Optimism,0.0,-30067598.084339995,1,-29159761.344155315,-1,29159761.344155315,-30067598.084339995,-1,30067598.084339995,-33444031.551827457,-1,33444031.551827457,-34776499.19470173,-1,34776499.19470173,-29159761.344155315,-1,29159761.344155315,-29159761.344155315,-1,29159761.344155315,-29159761.344155315,-1,29159761.344155315,-inf
92887,2022-12-15,pooltogether,Polygon,0.0,-4542784.44726,1,-13387559.771461327,-1,13387559.771461327,-4542784.44726,-1,4542784.44726,-4491231.7231244985,-1,4491231.7231244985,-5063094.575595805,-1,5063094.575595805,-13387559.771461327,-1,13387559.771461327,-13387559.771461327,-1,13387559.771461327,-13387559.771461327,-1,13387559.771461327,-inf
92888,2022-12-15,qidao,Arbitrum,0.0,-999372.18619,1,-1805915.7554460303,-1,1805915.7554460303,-999372.18619,-1,999372.18619,-1001581.5058876917,-1,1001581.5058876917,-1026977.4141451576,-1,1026977.4141451576,-1591752.3278059661,-1,1591752.3278059661,-1805915.7554460303,-1,1805915.7554460303,-1805915.7554460303,-1,1805915.7554460303,-inf
92889,2022-12-15,qidao,Avalanche,0.0,-1917768.7023399998,1,-2083031.8669723878,-1,2083031.8669723878,-1917768.7023399998,-1,1917768.7023399998,-1919109.2736902274,-1,1919109.2736902274,-1715503.124954808,-1,1715503.124954808,-2070064.6319011117,-1,2070064.6319011117,-2083031.8669723878,-1,2083031.8669723878,-2083031.8669723878,-1,2083031.8669723878,-inf
92890,2022-12-15,qidao,Binance,0.0,-526212.27253,1,-753839.6312332754,-1,753839.6312332754,-526212.27253,-1,526212.27253,-537334.1325480867,-1,537334.1325480867,-721621.1627293864,-1,721621.1627293864,-754655.1455444286,-1,754655.1455444286,-753839.6312332754,-1,753839.6312332754,-753839.6312332754,-1,753839.6312332754,-inf
92891,2022-12-15,qidao,Ethereum,0.0,-5562309.5320999995,1,-293357.3196543781,-1,293357.3196543781,-5562309.5320999995,-1,5562309.5320999995,-5640239.060939981,-1,5640239.060939981,-5061957.3018992925,-1,5061957.3018992925,-293357.3196543781,-1,293357.3196543781,-293357.3196543781,-1,293357.3196543781,-293357.3196543781,-1,293357.3196543781,-inf
92893,2022-12-15,qidao,Harmony,0.0,-5260.77766,1,-7002.79946272,-1,7002.79946272,-5260.77766,-1,5260.77766,-5260.742200382505,-1,5260.742200382505,-5247.351170393385,-1,5247.351170393385,-7147.998142815424,-1,7147.998142815424,-7002.79946272,-1,7002.79946272,-7002.79946272,-1,7002.79946272,-inf
92926,2022-12-15,reflexer,Ethereum,0.0,-33117268.02791,1,-37241135.836758666,-1,37241135.836758666,-33117268.02791,-1,33117268.02791,-33104375.863693777,-1,33104375.863693777,-33190935.878325514,-1,33190935.878325514,-37241135.836758666,-1,37241135.836758666,-37241135.836758666,-1,37241135.836758666,-37241135.836758666,-1,37241135.836758666,-inf
92979,2022-12-15,solend,Solana,0.0,-20129229.078819998,1,-199993450.19675484,-1,199993450.19675484,-20129229.078819998,-1,20129229.078819998,-20023900.714659177,-1,20023900.714659177,-25204174.315985627,-1,25204174.315985627,-195857203.91603026,-1,195857203.91603026,-199993450.19675484,-1,199993450.19675484,-199993450.19675484,-1,199993450.19675484,-inf
92928,2022-12-15,renvm,Avalanche,0.0,-282005.13466,1,-1388488.4792048694,-1,1388488.4792048694,-282005.13466,-1,282005.13466,-350609.44067588256,-1,350609.44067588256,-1328894.1382702957,-1,1328894.1382702957,-1292626.1442937318,-1,1292626.1442937318,-1388488.4792048694,-1,1388488.4792048694,-1388488.4792048694,-1,1388488.4792048694,-inf
92956,2022-12-15,saddle-finance,Arbitrum,0.0,-2047587.58998,1,-6443845.68429243,-1,6443845.68429243,-2047587.58998,-1,2047587.58998,-2153111.151452915,-1,2153111.151452915,-3207361.3746106005,-1,3207361.3746106005,-6820545.995670412,-1,6820545.995670412,-6443845.68429243,-1,6443845.68429243,-6443845.68429243,-1,6443845.68429243,-inf
92957,2022-12-15,saddle-finance,Ethereum,0.0,-8392875.35035,1,-35484395.21662756,-1,35484395.21662756,-8392875.35035,-1,8392875.35035,-13565893.67753027,-1,13565893.67753027,-15962916.843248006,-1,15962916.843248006,-38059335.48535147,-1,38059335.48535147,-35484395.21662756,-1,35484395.21662756,-35484395.21662756,-1,35484395.21662756,-inf
92958,2022-12-15,saddle-finance,Evmos,0.0,-2517.53498,1,-3371.449314139695,-1,3371.449314139695,-2517.53498,-1,2517.53498,-2517.53498,-1,2517.53498,-2547.263934344438,-1,2547.263934344438,-3371.449314139695,-1,3371.449314139695,-3371.449314139695,-1,3371.449314139695,-3371.449314139695,-1,3371.449314139695,-inf
92959,2022-12-15,saddle-finance,Fantom,0.0,-241.46946,1,-922.1318396330216,-1,922.1318396330216,-241.46946,-1,241.46946,-240.9979885634935,-1,240.9979885634935,-293.01081287522504,-1,293.01081287522504,-922.6863270667723,-1,922.6863270667723,-922.1318396330216,-1,922.1318396330216,-922.1318396330216,-1,922.1318396330216,-inf
92960,2022-12-15,saddle-finance,Kava,0.0,-18.84799,1,-125.3811306643165,-1,125.3811306643165,-18.84799,-1,18.84799,-18.85001098866003,-1,18.85001098866003,-18.829813197735703,-1,18.829813197735703,-125.3811306643165,-1,125.3811306643165,-125.3811306643165,-1,125.3811306643165,-125.3811306643165,-1,125.3811306643165,-inf
92961,2022-12-15,saddle-finance,Optimism,0.0,-612259.7570199999,1,-3058570.348682156,-1,3058570.348682156,-612259.7570199999,-1,612259.7570199999,-1706822.5155123975,-1,1706822.5155123975,-1685268.1821520422,-1,1685268.1821520422,-3414762.885286972,-1,3414762.885286972,-3058570.348682156,-1,3058570.348682156,-3058570.348682156,-1,3058570.348682156,-inf
92962,2022-12-15,scream,Fantom,0.0,-11747921.792280002,1,-11645364.714116061,-1,11645364.714116061,-11747921.792280002,-1,11747921.792280002,-11640125.070652833,-1,11640125.070652833,-11644398.27205434,-1,11644398.27205434,-11644917.33003506,-1,11644917.33003506,-11645364.714116061,-1,11645364.714116061,-11645364.714116061,-1,11645364.714116061,-inf
92967,2022-12-15,set-protocol,Ethereum,0.0,-69355516.85197,1,-72343255.51185557,-1,72343255.51185557,-69355516.85197,-1,69355516.85197,-69301814.32491323,-1,69301814.32491323,-70264882.7301155,-1,70264882.7301155,-72043785.35638686,-1,72043785.35638686,-72343255.51185557,-1,72343255.51185557,-72343255.51185557,-1,72343255.51185557,-inf
92968,2022-12-15,sharedstake,Ethereum,0.0,-20945685.21285,1,-20945692.858785503,-1,20945692.858785503,-20945685.21285,-1,20945685.21285,-20945685.21285,-1,20945685.21285,-20945685.21285,-1,20945685.21285,-20945692.858785503,-1,20945692.858785503,-20945692.858785503,-1,20945692.858785503,-20945692.858785503,-1,20945692.858785503,-inf
92971,2022-12-15,shell-protocol,Arbitrum,0.0,-16420434.309330001,1,-856678.8532754686,-1,856678.8532754686,-16420434.309330001,-1,16420434.309330001,-15951598.56741515,-1,15951598.56741515,-9367055.200726151,-1,9367055.200726151,-856678.8532754686,-1,856678.8532754686,-856678.8532754686,-1,856678.8532754686,-856678.8532754686,-1,856678.8532754686,-inf
92972,2022-12-15,sherlock,Ethereum,0.0,-11878659.52401,1,-11019798.088121742,-1,11019798.088121742,-11878659.52401,-1,11878659.52401,-11864981.81479181,-1,11864981.81479181,-11752074.332202947,-1,11752074.332202947,-11019798.088121742,-1,11019798.088121742,-11019798.088121742,-1,11019798.088121742,-11019798.088121742,-1,11019798.088121742,-inf
92973,2022-12-15,shibaswap,Ethereum,0.0,-26314616.92974,1,-34582653.52841977,-1,34582653.52841977,-26314616.92974,-1,26314616.92974,-26766731.28365255,-1,26766731.28365255,-19807167.55285787,-1,19807167.55285787,-28476951.70210842,-1,28476951.70210842,-34582653.52841977,-1,34582653.52841977,-34582653.52841977,-1,34582653.52841977,-inf
92974,2022-12-15,sicx,Icon,0.0,-12851717.60764,1,-17049287.862837587,-1,17049287.862837587,-12851717.60764,-1,12851717.60764,-13047152.143871242,-1,13047152.143871242,-13209320.859149732,-1,13209320.859149732,-17092945.029535763,-1,17092945.029535763,-17049287.862837587,-1,17049287.862837587,-17049287.862837587,-1,17049287.862837587,-inf
92975,2022-12-15,silo-finance,Ethereum,0.0,-18109206.90104,1,-7347.908823855221,-1,7347.908823855221,-18109206.90104,-1,18109206.90104,-17892194.201089527,-1,17892194.201089527,-2679454.5623707846,-1,2679454.5623707846,-725177.5498742685,-1,725177.5498742685,-7347.908823855221,-1,7347.908823855221,-7347.908823855221,-1,7347.908823855221,-inf
92978,2022-12-15,solarbeam,Moonriver,0.0,-18504285.62084,1,-18321167.2299402,-1,18321167.2299402,-18504285.62084,-1,18504285.62084,-16527005.071200227,-1,16527005.071200227,-14245098.125849873,-1,14245098.125849873,-18549852.005510498,-1,18549852.005510498,-18321167.2299402,-1,18321167.2299402,-18321167.2299402,-1,18321167.2299402,-inf
92982,2022-12-15,solo-top,Binance,0.0,-9078461.07601,1,-13665406.035293497,-1,13665406.035293497,-9078461.07601,-1,9078461.07601,-6920530.185111975,-1,6920530.185111975,-6999425.348244332,-1,6999425.348244332,-13433496.397687037,-1,13433496.397687037,-13665406.035293497,-1,13665406.035293497,-13665406.035293497,-1,13665406.035293497,-inf
92868,2022-12-15,pinksale,Avalanche,0.0,-324953.5719,1,-452403.87711830874,-1,452403.87711830874,-324953.5719,-1,324953.5719,-328230.6208449397,-1,328230.6208449397,-350293.0801133732,-1,350293.0801133732,-458326.0626862467,-1,458326.0626862467,-452403.87711830874,-1,452403.87711830874,-452403.87711830874,-1,452403.87711830874,-inf
92955,2022-12-15,saber,Solana,0.0,-25832100.83721,1,-53047391.8237432,-1,53047391.8237432,-25832100.83721,-1,25832100.83721,-25508454.042938396,-1,25508454.042938396,-29990024.71137901,-1,29990024.71137901,-52337912.618924744,-1,52337912.618924744,-53047391.8237432,-1,53047391.8237432,-53047391.8237432,-1,53047391.8237432,-inf
92927,2022-12-15,renvm,Arbitrum,0.0,-402349.90203000006,1,-7031269.164628993,-1,7031269.164628993,-402349.90203000006,-1,402349.90203000006,-478965.48353856505,-1,478965.48353856505,-2082654.2667565201,-1,2082654.2667565201,-7025219.9309639195,-1,7025219.9309639195,-7031269.164628993,-1,7031269.164628993,-7031269.164628993,-1,7031269.164628993,-inf
92954,2022-12-15,rocket-pool,Ethereum,0.0,-598605023.6669999,1,-425382179.92503583,-1,425382179.92503583,-598605023.6669999,-1,598605023.6669999,-592058648.4894681,-1,592058648.4894681,-563507552.6775789,-1,563507552.6775789,-428972057.7097604,-1,428972057.7097604,-425382179.92503583,-1,425382179.92503583,-425382179.92503583,-1,425382179.92503583,-inf
92948,2022-12-15,ribbon,Solana,0.0,-87518.30107,1,-264791.2881665532,-1,264791.2881665532,-87518.30107,-1,87518.30107,-87950.31865215511,-1,87950.31865215511,-234667.20696061564,-1,234667.20696061564,-261403.63383940567,-1,261403.63383940567,-264791.2881665532,-1,264791.2881665532,-264791.2881665532,-1,264791.2881665532,-inf
