,date,protocol,chain,usd_value,name,category,parent_protocol,net_dollar_flow,net_dollar_flow_latest_price,rank_desc,mark_at_latest_price,cumul_net_dollar_flow,flow_direction,abs_cumul_net_dollar_flow,cumul_net_dollar_flow_1d,daily_avg_tvl_1d,flow_direction_1d,abs_cumul_net_dollar_flow_1d,cumul_net_dollar_flow_7d,daily_avg_tvl_7d,flow_direction_7d,abs_cumul_net_dollar_flow_7d,cumul_net_dollar_flow_30d,daily_avg_tvl_30d,flow_direction_30d,abs_cumul_net_dollar_flow_30d,cumul_net_dollar_flow_90d,daily_avg_tvl_90d,flow_direction_90d,abs_cumul_net_dollar_flow_90d,cumul_net_dollar_flow_180d,daily_avg_tvl_180d,flow_direction_180d,abs_cumul_net_dollar_flow_180d,cumul_net_dollar_flow_365d,daily_avg_tvl_365d,flow_direction_365d,abs_cumul_net_dollar_flow_365d,pct_of_tvl
327908,2023-01-19 00:00:00,multichain*,Aurora,0.0,Multichain,Bridge,Multichain,-649417.19596,-649417.19596,1,1,-5531412.96544,-1,5531412.96544,-649417.19596,0.0,-1,649417.19596,-586434.79347,537218.3254685715,-1,586434.79347,-1898155.8939500002,1464600.8621896666,-1,1898155.8939500002,-5480145.75919,2224383.440030111,-1,5480145.75919,-5531412.96544,2725252.7406420754,-1,5531412.96544,-5531412.96544,2725252.7406420754,-1,5531412.96544,-inf
327911,2023-01-19 00:00:00,multichain*,Bitgert,0.0,Multichain,Bridge,Multichain,-1394665.97598,-1394665.97598,1,1,-184889.00368000008,-1,184889.00368000008,-1394665.97598,0.0,-1,1394665.97598,-1311860.65243,1197999.8109257144,-1,1311860.65243,-1354760.3931,1256624.4210763334,-1,1354760.3931,-184889.00368000008,1214308.7635964772,-1,184889.00368000008,-184889.00368000008,1214308.7635964772,-1,184889.00368000008,-184889.00368000008,1214308.7635964772,-1,184889.00368000008,-inf
327912,2023-01-19 00:00:00,multichain*,Bittorrent,0.0,Multichain,Bridge,Multichain,-1198673.91638,-1198673.91638,1,1,-221798.9154099999,-1,221798.9154099999,-1198673.91638,0.0,-1,1198673.91638,-1203344.65449,1025262.6392628571,-1,1203344.65449,-1200538.53503,1161323.7536283333,-1,1200538.53503,-1220546.5592,1134094.2146913332,-1,1220546.5592,-1221120.91541,1177528.4781116666,-1,1221120.91541,-221798.9154099999,1147711.252068517,-1,221798.9154099999,-inf
327913,2023-01-19 00:00:00,multichain*,Boba,0.0,Multichain,Bridge,Multichain,-436413.43008,-436413.43008,1,1,-7833680.10827,-1,7833680.10827,-436413.43008,0.0,-1,436413.43008,-562370.55118,459759.1578442858,-1,562370.55118,-552837.03664,524110.5656313334,-1,552837.03664,-3689372.52725,623734.7515706667,-1,3689372.52725,-7818683.51724,2468838.887621778,-1,7818683.51724,-7833680.10827,3711756.7320025424,-1,7833680.10827,-inf
327914,2023-01-19 00:00:00,multichain*,CLV,0.0,Multichain,Bridge,Multichain,-44579.94495,-44579.94495,1,1,-52546.73665,-1,52546.73665,-44579.94495,0.0,-1,44579.94495,-39157.39433,37082.67389571429,-1,39157.39433,-36784.12651,37314.411959000005,-1,36784.12651,-53037.21831,43477.06256022222,-1,53037.21831,-52546.73665,44955.07013264706,-1,52546.73665,-52546.73665,44955.07013264706,-1,52546.73665,-inf
327916,2023-01-19 00:00:00,multichain*,Conflux,0.0,Multichain,Bridge,Multichain,-1119152.72734,-1119152.72734,1,1,-1119606.3675,-1,1119606.3675,-1119152.72734,0.0,-1,1119152.72734,-939485.76947,919503.8391814285,-1,939485.76947,-875414.02246,890580.0943303334,-1,875414.02246,-1114503.5615,1002707.6593144445,-1,1114503.5615,-950552.92929,1047894.2547576111,-1,950552.92929,-1119606.3675,1022422.9171176271,-1,1119606.3675,-inf
327920,2023-01-19 00:00:00,multichain*,EthereumPoW,0.0,Multichain,Bridge,Multichain,-192094.92583,-192094.92583,1,1,-428489.28662,-1,428489.28662,-192094.92583,0.0,-1,192094.92583,-194465.21139,167245.07755142855,-1,194465.21139,-278137.06109,239942.95339633332,-1,278137.06109,-747118.56856,542789.653182889,-1,747118.56856,-428489.28662,545284.6056242157,-1,428489.28662,-428489.28662,545284.6056242157,-1,428489.28662,-inf
327925,2023-01-19 00:00:00,multichain*,GodwokenV1,0.0,Multichain,Bridge,Multichain,-774.24217,-774.24217,1,1,-1012.25081,-1,1012.25081,-774.24217,0.0,-1,774.24217,-774.46873,663.2518142857142,-1,774.46873,-822.75789,769.4615143333334,-1,822.75789,-1009.89507,843.396692888889,-1,1009.89507,-1012.25081,863.0397409803923,-1,1012.25081,-1012.25081,863.0397409803923,-1,1012.25081,-inf
333518,2023-01-24 00:00:00,cbridge*,Astar,0.0,cBridge,Bridge,cBridge,-1.07195,-1.07195,1,1,-157146.51454001438,-1,157146.51454001438,-1.07195,0.0,-1,1.07195,-1.07195,0.9188142857142856,-1,1.07195,-1.0719499701976776,1.0362183333333332,-1,1.0719499701976776,-2.2723400083208087,1.2428712222222222,-1,2.2723400083208087,-1.7317699992799762,1.5933636111111111,-1,1.7317699992799762,-157146.51454001438,51542661.79468749,-1,157146.51454001438,-inf
335696,2023-01-25 00:00:00,yield-yak-aggregator,Avalanche,29812857.79216,Yield Yak Aggregator,Yield Aggregator,Yield Yak,-217876.8412438004,-217876.8412438004,1,1,-109766201.47590214,-1,109766201.47590214,-217876.8412438004,29812857.79216,-1,217876.8412438004,-1965998.6588402858,30115533.232092857,-1,1965998.6588402858,-3699516.9928539875,27070947.405307334,-1,3699516.9928539875,-15435044.441792933,29958377.194694884,-1,15435044.441792933,-22754845.814681243,42188586.82169889,-1,22754845.814681243,-109766201.47590214,74508699.95955405,-1,109766201.47590214,-0.7308150153290446
335296,2023-01-25 00:00:00,pooltogether,Binance,5920.44816,PoolTogether,Services,PoolTogether,0.0,0.0,1,1,-6842.794949145516,-1,6842.794949145516,0.0,5920.44816,1,0.0,-129.76725747396367,5884.9472671428575,-1,129.76725747396367,-173.98223027345273,5468.486658,-1,173.98223027345273,-501.1602933599005,5895.852115555555,-1,501.1602933599005,-1044.9826923452242,6255.818393833334,-1,1044.9826923452242,-6842.794949145516,9563.517765111732,-1,6842.794949145516,0.0
335297,2023-01-25 00:00:00,pooltogether,Celo,99549.93358,PoolTogether,Services,PoolTogether,0.0,0.0,1,1,-3120115.8305350724,-1,3120115.8305350724,0.0,99549.93358,1,0.0,-143.57909877399618,99683.64531714286,-1,143.57909877399618,-5976.700391079244,100463.73964966666,-1,5976.700391079244,-29340.688795748847,110790.57935722222,-1,29340.688795748847,-356307.62881678017,162084.574062,-1,356307.62881678017,-3120115.8305350724,1045166.3422508939,-1,3120115.8305350724,0.0
335298,2023-01-25 00:00:00,pooltogether,Ethereum,5790624.07392,PoolTogether,Services,PoolTogether,1279.4436036670552,1279.4436036670552,1,1,-26283590.64811164,-1,26283590.64811164,1279.4436036670552,5790624.07392,1,1279.4436036670552,-10129.205826008245,5825223.363615714,-1,10129.205826008245,-78446.00867553632,5529121.374804666,-1,78446.00867553632,-5064252.757748721,6584744.211070667,-1,5064252.757748721,-9734112.307617174,9393115.322674833,-1,9734112.307617174,-26283590.64811164,14376114.68673486,-1,26283590.64811164,0.02209509005133755
335299,2023-01-25 00:00:00,pooltogether,Optimism,34481230.16122,PoolTogether,Services,PoolTogether,59203.16999209824,59203.16999209824,1,1,32756792.6820004,1,32756792.6820004,59203.16999209824,34481230.16122,1,59203.16999209824,2073495.5820528178,33945458.5735,1,2073495.5820528178,-898202.8288319944,33261817.570437,-1,898202.8288319944,-723015.7294797504,32724047.153269667,-1,723015.7294797504,32056890.88525565,31099336.624672163,1,32056890.88525565,32756792.6820004,29716020.757608995,1,32756792.6820004,0.17169680349363597
335300,2023-01-25 00:00:00,pooltogether,Polygon,3976587.84593,PoolTogether,Services,PoolTogether,-6600.192915625018,-6600.192915625018,1,1,-19220733.35015428,-1,19220733.35015428,-6600.192915625018,3976587.84593,-1,6600.192915625018,-1493.0673863123438,3993352.0290028574,-1,1493.0673863123438,-356780.8899095539,4173969.032100667,-1,356780.8899095539,-1996836.7982331584,4734048.3342,-1,1996836.7982331584,-15812131.497556878,8370088.408903112,-1,15812131.497556878,-19220733.35015428,16588223.7608519,-1,19220733.35015428,-0.16597628850020887
335301,2023-01-25 00:00:00,port-finance,Solana,10075689.10703,Port Finance,Lending,Port Finance,252374.51917348342,252374.51917348342,1,1,-18008481.3459793,-1,18008481.3459793,252374.51917348342,10075689.10703,1,252374.51917348342,283566.86984383233,9962474.32146,1,283566.86984383233,12747.45827925764,8651412.070780333,1,12747.45827925764,-830344.4404819228,8820063.252833556,-1,830344.4404819228,-1213115.3425391468,9725068.555684889,-1,1213115.3425391468,-18008481.3459793,14440452.191262059,-1,18008481.3459793,2.504786684986111
335302,2023-01-25 00:00:00,portal*,Acala,832535.46,Portal,Bridge,Portal,-65678.67000000004,-65678.67000000004,1,1,832535.46,1,832535.46,-65678.67000000004,832535.46,-1,65678.67000000004,-89212.79000000004,901297.6471428572,-1,89212.79000000004,-60521.609999999986,883236.888,-1,60521.609999999986,829772.6499999999,393005.92744444445,1,829772.6499999999,832535.46,218826.3472839506,1,832535.46,832535.46,218826.3472839506,1,832535.46,-7.8889937012412705
335303,2023-01-25 00:00:00,portal*,Algorand,63.4,Portal,Bridge,Portal,-2.8300000000000054,-2.8300000000000054,1,1,63.059999999999945,1,63.059999999999945,-2.8300000000000054,63.4,-1,2.8300000000000054,2.0399999999999565,63.14142857142857,1,2.0399999999999565,13.199999999999932,74.85166666666666,1,13.199999999999932,62.02999999999995,34.964222222222226,1,62.02999999999995,63.059999999999945,30.324134615384615,1,63.059999999999945,63.059999999999945,30.324134615384615,1,63.059999999999945,-4.463722397476349
335304,2023-01-25 00:00:00,portal*,Aptos,106910.77,Portal,Bridge,Portal,2676.5599999999977,2676.5599999999977,1,1,76668.19000000008,1,76668.19000000008,2676.5599999999977,106910.77,1,2676.5599999999977,42442.33000000005,92136.7957142857,1,42442.33000000005,75554.65000000005,53393.14766666667,1,75554.65000000005,14728.68000000008,59158.57122222222,1,14728.68000000008,76668.19000000008,59649.579263157895,1,76668.19000000008,76668.19000000008,59649.579263157895,1,76668.19000000008,2.503545713869611
335305,2023-01-25 00:00:00,portal*,Aurora,4888.89,Portal,Bridge,Portal,-214.26999999999953,-214.26999999999953,1,1,4073.9700000000284,1,4073.9700000000284,-214.26999999999953,4888.89,-1,214.26999999999953,-62.56999999999971,5013.022857142857,-1,62.56999999999971,870.5300000000002,4462.016666666666,1,870.5300000000002,-1298714.9300000002,162920.6238888889,-1,1298714.9300000002,-1294483.38,734014.1799999999,-1,1294483.38,4073.9700000000284,622799.6050184502,1,4073.9700000000284,-4.382794458455795
335306,2023-01-25 00:00:00,portal*,Avalanche,3288865.62,Portal,Bridge,Portal,-179022.33000000007,-179022.33000000007,1,1,-29945292.020000003,-1,29945292.020000003,-179022.33000000007,3288865.62,-1,179022.33000000007,-685422.9699999997,3312882.205714286,-1,685422.9699999997,247544.59000000032,3278133.6306666667,1,247544.59000000032,-9087434.309999999,4513311.058888889,-1,9087434.309999999,-10175387.210000003,8648812.2005,-1,10175387.210000003,-29945292.020000003,17965540.530838925,-1,29945292.020000003,-5.44328503151187
335307,2023-01-25 00:00:00,portal*,Binance,13164234.32,Portal,Bridge,Portal,109493.25,109493.25,1,1,-12861596.34000004,-1,12861596.34000004,109493.25,13164234.32,1,109493.25,-922829.8599999994,13088707.827142855,-1,922829.8599999994,-737414.5199999772,14003913.670333333,-1,737414.5199999772,-9509701.599999975,14680421.439777777,-1,9509701.599999975,-16248574.01000001,19297182.62677778,-1,16248574.01000001,-12861596.34000004,40129177.30456376,-1,12861596.34000004,0.8317479569142157
335308,2023-01-25 00:00:00,portal*,Celo,1614233.13,Portal,Bridge,Portal,-18087.450000000186,-18087.450000000186,1,1,1509486.48,1,1509486.48,-18087.450000000186,1614233.13,-1,18087.450000000186,-5997.700000000186,1616991.3542857144,-1,5997.700000000186,437417.59999999986,1435383.7733333332,1,437417.59999999986,222943.2799999998,1351580.8930000002,1,222943.2799999998,1510940.33,953619.3023333333,1,1510940.33,1509486.48,864621.5665671641,1,1509486.48,-1.1204980039035741
