include_in_summary,num_op,op_source,cumul_net_dollar_flow_at_program_end,cumul_net_dollar_flow,cumul_flows_per_op_at_program_end,cumul_last_price_net_dollar_flow_at_program_end,cumul_flows_per_op_latest,cumul_last_price_net_dollar_flow,last_price_net_dollar_flows_per_op_at_program_end,last_price_net_dollar_flows_per_op_latest,flows_retention,last_price_net_dollar_flows_retention
28,22189071.42857143,Gov Fund - Phase 0,198874012.90521318,175818102.03906536,8.448677064797995,201082605.93098462,7.923634957192295,177541542.72662917,8.542503749188384,8.001305656171823,0.01191794896006215,0.01578334797358211
27,13189071.42857143,Gov Fund - Phase 0 (Excl. Perp),209315457.16796634,186259546.30181852,14.396755542216434,211499683.31625336,14.122263823541456,187958620.11189792,14.546987017384422,14.251088192965879,0.01132343672729872,0.015005964505855687
18,2913371.4285714286,Gov Fund - Season 1,146898653.48887193,143633587.35684544,49.954120022254564,147784545.77971202,49.30150201523605,144510081.4797671,50.255375130946,49.602354187508325,-0.0017665925266436191,-0.0023746917328259995
3,4590000.0,Gov Fund - Season 2,269548823.3614983,269548823.3614983,58.72523384782098,270717525.9814588,58.72523384782098,270717525.9814588,58.97985315500191,58.97985315500191,0.0,0.0
3,8450000.0,Partner Fund,470033708.5035011,163536595.74633878,28.573477720577575,466996654.36585885,19.353443283590387,162370592.78915238,28.388854368745218,19.215454767947026,0.26801456470788626,0.26726245167210255
79,51331514.28571428,- TOTAL -,1294670655.4270508,938796654.8055664,20.861994711443906,1298081015.3742676,18.28889460731994,943098363.0889055,20.916948387025197,18.372697088957157,0.10076439891712424,0.10076970540498846
