include_in_summary,num_op,op_source,cumul_net_dollar_flow_at_program_end,cumul_net_dollar_flow,cumul_flows_per_op_at_program_end,cumul_last_price_net_dollar_flow_at_program_end,cumul_flows_per_op_latest,cumul_last_price_net_dollar_flow,last_price_net_dollar_flows_per_op_at_program_end,last_price_net_dollar_flows_per_op_latest,flows_retention,last_price_net_dollar_flows_retention
9,1350000.0,Gov Fund - Phase 0,25873151.33073299,2817240.4645851753,9.582648641012218,27020146.955232188,2.0868447885816113,3479083.7508767378,10.007461835271181,2.5770990747235096,0.10888663806634034,0.128758875983946
1,27300.0,Gov Fund - Season 1,3541707.0283256844,276640.8962992046,64.866429090214,3456288.868277677,10.13336616480603,181824.56833277398,63.30199392449958,6.660240598270109,0.07810948056592489,0.05260687843588144
2,8000000.0,Partner Fund,432472992.53976166,125975879.78259933,27.029562033735104,429436732.3451954,15.746984972824917,124810670.76848894,26.839795771574714,15.601333846061118,0.2912919002011833,0.2906380879131737
12,9377300.0,- TOTAL -,461887850.8988203,129069761.14348373,24.627976650998704,459913168.1687052,13.76406440483761,128471579.08769846,24.5226860700151,13.700273968807489,0.2794396104862203,0.2793387708363518
