,tribe,address,score,attempts
352,sun,0x4DfC7EA5aC59B63223930C134796fecC4258d093:131,0,0
353,sun,0x4DfC7EA5aC59B63223930C134796fecC4258d093:377,0,0
354,sun,0x4DfC7EA5aC59B63223930C134796fecC4258d093:353,0,0
355,sun,0x4DfC7EA5aC59B63223930C134796fecC4258d093:552,0,0
356,sun,0x4DfC7EA5aC59B63223930C134796fecC4258d093:559,0,0
357,sun,0x4DfC7EA5aC59B63223930C134796fecC4258d093:245,0,0
358,sun,0x4DfC7EA5aC59B63223930C134796fecC4258d093:367,0,0
359,sun,0x4DfC7EA5aC59B63223930C134796fecC4258d093:494,0,0
360,sun,0x4DfC7EA5aC59B63223930C134796fecC4258d093:504,0,0
361,sun,0x4DfC7EA5aC59B63223930C134796fecC4258d093:188,0,0
