,chain,pool_address,pool_name,pool_symbol,pool_assetType_mapped,pool_poolType,pool_coinNames,latest_tvl_usd,avg_daily_volume_usd,totalDailyFeesUSD,days_of_trading
22,avalanche,0x37c9be6c81990398e9b87494484afc6a4608c25d,Curve.fi Factory Plain Pool: blizz,bCRV-f,USD,STABLE_FACTORY,"bDAI,bUSDC,bUSDT",406252.3702490583,79100.22382868109,31.640089531472437,179
23,avalanche,0x3a43a5851a3e3e0e25a3c1089670269786be1577,Curve.fi Factory Plain Pool: USD Coin,USDC.eUSDC-f,USD,STABLE_FACTORY,"USDC,USDC.e",699475.6526544067,200470.27426220875,80.1881097048835,179
24,avalanche,0x4b043cdd981dbd9a0c229d23b80cc1eb3c50b05b,Curve.fi Factory Plain Pool: Ankr Reward Earning Staked AVAX,aAVAXb-f,Other,STABLE_FACTORY,"WAVAX,aAVAXb",77579.56009591196,65509.55420311834,26.20382168124734,90
25,avalanche,0x6856860ce8913e98a2bac1a922f309d9a16651fa,Curve.fi Factory USD Metapool: USDR,USDR3CRV3CRV-f,USD,STABLE_FACTORY,"USDR,av3CRV",89843.883399313,13235.925940689134,5.294370376275654,179
26,avalanche,0x6bf6fc7eaf84174bb7e1610efd865f0ebd2aa96d,Curve.fi Factory USD Metapool: NXUSD+av3CRV,NXUSD3CRV3CRV-f,USD,STABLE_FACTORY,"NXUSD,av3CRV",657647.5779224545,333585.6493788675,133.43425975154702,179
27,avalanche,0x7f90122bf0700f9e7e1f688fe926940e8839f353,Curve.fi avDAI/avUSDC/avUSDT,av3CRV,USD,LENDING,"avDAI,avUSDC,avUSDT",11494134.041740568,1497170.4644690207,598.8681857876084,179
28,avalanche,0x90d5233b53436767fecacd1a783d3da8cc7395ed,Curve.fi Factory USD Metapool: USDS,USDS+3Pool3CRV-f,USD,STABLE_FACTORY,"USDS,av3CRV",12177.138900522643,4164.67017438434,1.665868069753736,139
29,avalanche,0x943f3b750447abdd61cdf68ae6c3912cd3beda04,Curve.fi Factory USD Metapool: Topshelf USDL,USDL-3CRV3CRV-f,USD,STABLE_FACTORY,"USDL Stablecoin,av3CRV",86953.36922323993,19581.912677117693,7.832765070847079,179
30,avalanche,0xaa9dfbf31d2f807ca4d9f7be281d75ca7bdce64d,Curve.fi Factory Plain Pool: Curve DD2Pool,crvDD2Pool-f,USD,STABLE_FACTORY,"DD,USDC.e",71340.03460393872,50.30995777696583,0.020123983110786333,117
31,avalanche,0xaea2e71b631fa93683bcf256a8689dfa0e094fcd,Curve.fi Factory Plain Pool: 3poolV2,3poolV2-f,USD,METAPOOL_FACTORY,"MIM,USDC.e,USDT.e",222473.6903585555,90958.86321509384,36.38354528603754,179
32,avalanche,0xb0d2eb3c2ca3c6916fab8dcbf9d9c165649231ae,Curve.fi Factory USD Metapool: MAI,MAI+av3CRV3CRV-f,USD,STABLE_FACTORY,"MAI,av3CRV",1248894.8150986568,220150.64662052278,88.06025864820913,179
33,avalanche,0xb3f21fc59bc06209d5fb82c474f21582aef09a20,Curve.fi Factory USD Metapool: MoreMoney USD,MONEY3CRV-f,USD,STABLE_FACTORY,"MONEY,av3CRV",93465.25730108394,24460.591764926165,9.784236705970468,179
34,avalanche,0xb755b949c126c04e0348dd881a5cf55d424742b2,Curve USD-BTC-ETH,crvUSDBTCETH,Crypto,REGISTRY_V1,"av3CRV,avWBTC,avWETH",1412411.8986395167,185442.75305235438,133.84778928441781,179
35,avalanche,0xbb8a6436e0e9a22bb7f1dc76afb4421d8195620e,Curve.fi Factory Plain Pool: axlUSDC/USDC.e,AXELARUSDC-f,USD,STABLE_FACTORY,"USDC.e,axlUSDC",2001072.4152368659,80879.23260677118,32.351693042708476,66
36,avalanche,0xd39016475200ab8957e9c772c949ef54bda69111,Curve.fi Factory USD Metapool: deBridge-USDC,deUSDС-3CRV-f,USD,STABLE_FACTORY,"av3CRV,deUSDC",137476.7737849113,27612.096986624143,11.044838794649657,179
37,avalanche,0xd79138c49c49200a1afc935171d1bdad084fdc95,Curve.fi Factory Plain Pool: 3pool,3pool-f,USD,STABLE_FACTORY,"USDC,USDt,UST",6527509.304089555,638063.8338961817,255.22553355847268,179
38,avalanche,0xd7bb79aee866672419999a0496d99c54741d67b5,Curve.fi Factory Plain Pool: axlUSDC/USDC,axlUSDC-f,USD,STABLE_FACTORY,"USDC,axlUSDC",500050.437875189,122753.33623313515,49.10133449325405,179
39,avalanche,0xf72beacc6fd334e14a7ddac25c3ce1eb8a827e10,Curve.fi Factory USD Metapool: Defrost H2O,DefrostH2O3CRV-f,USD,STABLE_FACTORY,"H2O,av3CRV",7451046.222342557,193290.02432142844,77.31600972857137,142
